customer_id,segment,years_with_kite,policies_held,auto_renew,switches_last_3_years,comparison_quotes_last_renewal,days_letter_to_action,support_contacts_per_year,claims_last_5_years,premium_annual_eur,contents_sum_insured_eur,age_band,region,home_type,works_from_home
K-11001,Switcher,2,1,no,2,5,4,0,0,424,42000,45-54,Rest of Leinster,semi-detached,yes
K-11002,Juggler,1,3,no,0,2,10,0,0,1168,39500,25-34,Munster,semi-detached,no
K-11003,Juggler,3,3,no,2,1,9,0,0,1558,44000,25-34,Dublin,detached,no
K-11004,Switcher,3,1,no,1,2,1,0,0,313,30500,45-54,Munster,terrace,yes
K-11005,Payer,3,1,yes,0,1,15,1,0,567,49500,35-44,Connacht,detached,
K-11006,Payer,2,1,yes,0,0,5,0,1,445,37000,45-54,Rest of Leinster,semi-detached,yes
K-11007,Juggler,3,2,yes,1,0,11,1,0,866,40000,35-44,Rest of Leinster,bungalow,yes
K-11008,Juggler,2,3,no,2,1,9,2,0,1077,34500,65+,Ulster,terrace,no
K-11009,Switcher,2,1,no,3,5,2,1,0,395,31000,55-64,Connacht,bungalow,no
K-11010,Juggler,1,4,no,2,1,12,4,0,1246,27500,45-54,Ulster,apartment,yes
K-11011,Payer,4,1,no,0,0,14,0,0,496,31000,55-64,Connacht,semi-detached,
K-11012,Juggler,1,2,yes,1,1,8,1,0,621,31000,45-54,Dublin,terrace,no
K-11013,Switcher,1,1,no,1,4,5,0,0,305,30000,35-44,Connacht,apartment,no
K-11014,Switcher,2,1,no,2,4,7,0,0,315,33000,35-44,Rest of Leinster,terrace,yes
K-11015,Switcher,4,2,no,1,3,3,0,0,357,30000,35-44,Connacht,terrace,no
K-11016,Switcher,2,1,no,2,3,4,2,0,520,42000,35-44,Dublin,detached,no
K-11017,Switcher,3,1,no,1,2,6,0,0,429,31500,45-54,Connacht,semi-detached,no
K-11018,Payer,3,2,no,0,0,7,0,0,404,25500,25-34,Connacht,terrace,yes
K-11019,Payer,3,1,yes,0,0,16,0,0,577,48000,45-54,Munster,detached,
K-11020,Switcher,3,1,no,1,5,2,1,0,323,30000,45-54,Connacht,terrace,no
K-11021,Payer,4,1,yes,0,0,12,1,0,453,35000,35-44,Dublin,semi-detached,yes
K-11022,Switcher,1,1,no,3,3,2,0,0,375,40500,45-54,Rest of Leinster,semi-detached,no
K-11023,Switcher,3,1,no,2,5,1,1,0,316,22000,55-64,Munster,apartment,no
K-11024,Juggler,3,3,yes,1,1,6,1,2,1203,31500,25-34,Munster,semi-detached,
K-11025,Payer,4,1,yes,0,0,12,2,1,544,29500,55-64,Rest of Leinster,semi-detached,no
K-11026,Juggler,1,2,yes,1,1,7,2,0,1018,51500,65+,Dublin,detached,no
K-11027,Payer,3,1,yes,0,0,20,0,0,346,29000,35-44,Munster,apartment,no
K-11028,Payer,3,1,yes,0,0,19,1,0,538,30000,25-34,Dublin,semi-detached,
K-11029,Switcher,1,1,no,2,4,1,0,0,282,28500,35-44,Munster,apartment,no
K-11030,Payer,2,1,yes,0,0,25,1,0,484,39500,45-54,Munster,semi-detached,yes
K-11031,Switcher,1,1,yes,1,2,7,0,0,378,25000,25-34,Rest of Leinster,terrace,no
K-11032,Juggler,3,4,yes,0,1,8,1,0,1080,25500,35-44,Dublin,apartment,no
K-11033,Payer,4,1,yes,0,0,13,0,0,665,39000,55-64,Rest of Leinster,detached,
K-11034,Payer,4,1,yes,0,0,21,0,0,421,27000,35-44,Dublin,terrace,no
K-11035,Payer,3,2,no,0,1,25,0,0,464,37000,45-54,Rest of Leinster,semi-detached,yes
K-11036,Payer,4,1,yes,0,0,10,1,0,520,40000,45-54,Rest of Leinster,bungalow,no
K-11037,Payer,3,2,yes,0,0,12,0,0,397,25000,45-54,Rest of Leinster,apartment,no
K-11038,Juggler,3,2,no,1,0,17,3,0,774,40000,55-64,Munster,semi-detached,no
K-11039,Juggler,1,3,yes,1,2,6,2,0,1277,50000,35-44,Munster,detached,yes
K-11040,Juggler,3,3,yes,1,1,14,1,0,1223,36000,35-44,Munster,semi-detached,no
K-11041,Payer,2,1,yes,0,0,11,2,0,461,39500,35-44,Rest of Leinster,semi-detached,yes
K-11042,Payer,3,2,yes,0,0,8,0,0,444,34000,35-44,Rest of Leinster,semi-detached,yes
K-11043,Switcher,4,2,no,2,4,4,0,0,328,24000,55-64,Connacht,terrace,no
K-11044,Payer,2,2,yes,0,0,18,0,0,431,33500,55-64,Connacht,terrace,
K-11045,Juggler,2,3,no,1,2,4,2,0,1184,34000,55-64,Rest of Leinster,bungalow,yes
K-11046,Switcher,1,1,no,1,4,2,0,0,415,36000,35-44,Munster,semi-detached,yes
K-11047,Payer,4,1,yes,1,1,8,1,0,501,31000,35-44,Connacht,bungalow,no
K-11048,Payer,3,1,yes,0,0,22,0,1,452,39000,55-64,Connacht,bungalow,yes
K-11049,Juggler,3,2,no,1,0,3,1,0,878,43000,55-64,Dublin,detached,no
K-11050,Switcher,1,1,yes,2,5,7,0,0,368,40500,55-64,Munster,semi-detached,no
K-11051,Payer,4,1,yes,0,0,17,1,0,590,38000,45-54,Dublin,detached,no
K-11052,Switcher,1,1,no,3,3,5,0,1,433,40500,35-44,Dublin,bungalow,no
K-11053,Switcher,1,1,no,2,5,5,1,0,364,31000,35-44,Munster,semi-detached,no
K-11054,Switcher,2,1,no,3,3,4,2,0,334,28000,35-44,Dublin,terrace,no
K-11055,Switcher,1,1,no,3,3,1,1,1,527,46000,55-64,Munster,detached,no
K-11056,Switcher,1,1,no,1,4,3,0,0,468,49500,55-64,Rest of Leinster,detached,no
K-11057,Juggler,1,3,yes,0,0,12,2,1,1206,37500,45-54,Rest of Leinster,semi-detached,yes
K-11058,Payer,4,1,yes,0,0,19,0,1,490,34000,35-44,Munster,semi-detached,
K-11059,Switcher,1,1,no,1,2,4,0,0,522,45500,35-44,Dublin,detached,no
K-11060,Juggler,4,2,no,0,1,10,2,0,620,29000,55-64,Munster,apartment,no
K-11061,Payer,4,1,yes,0,1,11,0,0,578,43000,35-44,Dublin,detached,no
K-11062,Switcher,3,1,no,2,4,2,0,0,274,22000,55-64,Dublin,apartment,no
K-11063,Payer,3,1,yes,0,0,28,0,0,540,51000,65+,Munster,detached,
K-11064,Juggler,2,2,yes,1,2,4,1,0,640,31500,25-34,Connacht,terrace,yes
K-11065,Payer,2,1,yes,0,1,21,1,2,486,35000,25-34,Munster,semi-detached,no
K-11066,Switcher,2,1,no,2,3,3,0,0,320,32500,25-34,Munster,terrace,no
K-11067,Payer,2,1,yes,0,0,10,0,0,455,30000,35-44,Rest of Leinster,semi-detached,no
K-11068,Switcher,2,1,yes,1,4,6,0,2,416,32500,25-34,Munster,bungalow,
K-11069,Payer,2,1,yes,0,0,18,0,0,351,30000,65+,Connacht,apartment,no
K-11070,Payer,2,1,yes,0,0,17,0,0,373,20000,55-64,Dublin,apartment,no
K-11071,Juggler,4,2,yes,0,0,8,3,1,759,24000,65+,Munster,terrace,no
K-11072,Switcher,1,2,no,3,5,6,0,0,369,29000,45-54,Dublin,terrace,no
K-11073,Payer,3,1,yes,0,0,14,0,0,393,26500,35-44,Dublin,terrace,yes
K-11074,Payer,4,1,yes,0,1,11,0,1,533,31000,45-54,Rest of Leinster,semi-detached,no
K-11075,Juggler,1,2,no,0,2,9,1,1,761,43000,45-54,Rest of Leinster,semi-detached,yes
K-11076,Payer,4,2,yes,0,1,21,2,0,548,34500,65+,Dublin,bungalow,
K-11077,Juggler,2,3,no,0,2,18,2,0,1267,42000,35-44,Dublin,semi-detached,yes
K-11078,Switcher,2,1,no,2,3,1,0,1,394,31000,45-54,Connacht,semi-detached,no
K-11079,Juggler,1,4,yes,2,1,4,3,0,1471,40500,45-54,Ulster,semi-detached,no
K-11080,Juggler,3,3,yes,1,0,8,4,0,1105,29500,55-64,Dublin,semi-detached,no
K-11081,Payer,2,2,yes,0,0,23,0,0,633,48000,45-54,Dublin,detached,no
K-11082,Switcher,1,1,no,3,3,5,0,0,499,48000,45-54,Munster,detached,yes
K-11083,Payer,4,1,yes,0,0,12,0,0,431,34500,35-44,Ulster,terrace,yes
K-11084,Switcher,2,1,yes,1,5,1,1,1,391,34000,45-54,Ulster,terrace,yes
K-11085,Juggler,1,2,yes,0,2,2,1,0,753,38500,35-44,Connacht,semi-detached,yes
K-11086,Juggler,2,4,yes,1,1,12,2,1,1299,29000,35-44,Rest of Leinster,terrace,yes
K-11087,Switcher,2,1,no,2,4,3,2,0,366,28500,35-44,Rest of Leinster,terrace,yes
K-11088,Switcher,1,1,no,1,3,2,0,0,366,31500,35-44,Dublin,semi-detached,no
K-11089,Juggler,2,4,yes,2,2,20,1,0,1568,31500,25-34,Dublin,semi-detached,no
K-11090,Switcher,3,1,no,3,3,4,0,0,363,33000,65+,Rest of Leinster,semi-detached,no
K-11091,Switcher,2,1,no,3,4,4,1,1,396,35500,25-34,Dublin,terrace,no
K-11092,Switcher,4,1,no,3,4,1,1,0,317,21000,55-64,Munster,apartment,no
K-11093,Switcher,1,1,no,2,4,5,0,0,374,34500,35-44,Rest of Leinster,semi-detached,yes
K-11094,Switcher,1,1,no,2,3,4,0,0,368,34500,45-54,Ulster,terrace,no
K-11095,Payer,3,1,yes,0,0,20,0,1,537,38000,25-34,Connacht,bungalow,no
K-11096,Payer,4,1,yes,0,0,20,0,0,505,33000,35-44,Ulster,bungalow,no
K-11097,Juggler,1,3,yes,1,1,9,2,0,1534,52000,65+,Dublin,detached,no
K-11098,Payer,1,1,yes,0,0,20,1,0,586,53000,45-54,Rest of Leinster,detached,yes
K-11099,Payer,2,2,yes,0,1,11,0,0,608,48500,35-44,Connacht,detached,yes
K-11100,Payer,1,1,yes,0,0,23,1,0,602,50000,25-34,Munster,detached,yes
K-11101,Juggler,2,2,no,1,1,6,2,1,1035,50000,45-54,Connacht,detached,yes
K-11102,Payer,4,2,no,0,0,19,1,0,474,26000,45-54,Munster,terrace,yes
K-11103,Payer,4,1,yes,0,0,19,1,0,471,41500,35-44,Dublin,semi-detached,
K-11104,Juggler,4,4,yes,0,2,12,2,0,1554,30000,45-54,Dublin,semi-detached,yes
K-11105,Switcher,1,1,yes,3,4,6,0,1,421,38500,45-54,Ulster,semi-detached,yes
K-11106,Switcher,2,1,no,2,4,5,0,0,333,35000,25-34,Munster,terrace,yes
K-11107,Switcher,2,1,no,3,5,8,0,0,441,46000,55-64,Dublin,detached,no
K-11108,Payer,2,1,yes,0,0,12,2,0,328,27500,65+,Munster,apartment,no
K-11109,Payer,4,1,yes,0,0,23,2,0,458,44000,45-54,Rest of Leinster,semi-detached,yes
K-11110,Payer,2,1,yes,0,0,20,0,1,464,30500,25-34,Ulster,semi-detached,no
K-11111,Payer,3,1,yes,0,0,13,0,0,463,31500,35-44,Dublin,semi-detached,yes
K-11112,Juggler,2,2,no,0,1,15,0,0,680,40000,55-64,Munster,semi-detached,no
K-11113,Switcher,2,1,no,2,4,3,1,0,408,38500,35-44,Rest of Leinster,semi-detached,yes
K-11114,Payer,3,1,no,0,0,13,0,0,441,33000,45-54,Rest of Leinster,terrace,yes
K-11115,Switcher,2,1,no,3,4,1,0,0,353,27500,45-54,Munster,terrace,no
K-11116,Juggler,1,4,yes,2,2,8,2,0,2009,44500,45-54,Munster,detached,yes
K-11117,Juggler,4,2,yes,2,2,9,1,0,687,36000,35-44,Dublin,semi-detached,no
K-11118,Juggler,2,2,yes,0,0,7,4,0,764,29500,65+,Rest of Leinster,semi-detached,no
K-11119,Juggler,2,2,yes,0,2,11,2,0,840,54500,55-64,Rest of Leinster,detached,yes
K-11120,Juggler,4,2,no,1,1,6,2,0,649,29500,45-54,Rest of Leinster,terrace,yes
K-11121,Switcher,3,1,no,1,5,4,0,0,461,51000,45-54,Connacht,detached,yes
K-11122,Payer,4,1,no,0,0,17,1,0,496,29500,35-44,Rest of Leinster,terrace,yes
K-11123,Payer,4,1,yes,0,0,9,2,0,484,30500,45-54,Ulster,semi-detached,yes
K-11124,Payer,3,1,yes,0,0,25,1,1,387,30000,35-44,Rest of Leinster,apartment,no
K-11125,Switcher,1,1,no,1,2,5,0,1,305,28500,55-64,Connacht,apartment,no
K-11126,Switcher,1,1,no,2,3,2,1,0,286,22000,65+,Dublin,apartment,no
K-11127,Juggler,1,2,yes,1,1,10,0,0,749,35500,45-54,Munster,bungalow,no
K-11128,Payer,2,1,yes,0,0,19,0,1,454,33000,45-54,Rest of Leinster,semi-detached,no
K-11129,Switcher,4,1,no,3,4,5,0,0,399,39000,55-64,Rest of Leinster,semi-detached,yes
K-11130,Payer,3,1,yes,0,1,7,2,2,663,54500,45-54,Munster,detached,
K-11131,Switcher,3,1,no,2,4,4,1,0,514,40500,65+,Munster,detached,no
K-11132,Payer,4,2,no,0,0,17,1,0,525,36000,65+,Rest of Leinster,semi-detached,no
K-11133,Payer,2,1,yes,0,0,10,0,0,392,22500,25-34,Dublin,apartment,no
K-11134,Switcher,1,1,no,2,2,4,1,0,410,40500,65+,Dublin,semi-detached,no
K-11135,Payer,4,2,yes,0,1,10,1,1,632,54000,45-54,Munster,detached,yes
K-11136,Payer,4,1,yes,1,0,14,1,0,393,25500,25-34,Connacht,apartment,yes
K-11137,Switcher,1,1,no,3,4,1,0,2,341,38000,35-44,Connacht,terrace,yes
K-11138,Juggler,4,2,no,2,2,2,3,0,799,32500,35-44,Connacht,semi-detached,no
K-11139,Switcher,1,1,no,2,3,5,0,0,427,38000,45-54,Rest of Leinster,semi-detached,yes
K-11140,Payer,2,1,yes,0,1,29,1,0,509,44000,35-44,Ulster,detached,yes
K-11141,Juggler,4,3,no,2,2,3,4,0,977,31000,35-44,Rest of Leinster,terrace,yes
K-11142,Switcher,1,2,no,3,3,1,0,0,393,34000,45-54,Rest of Leinster,semi-detached,yes
K-11143,Payer,3,1,yes,0,0,15,2,0,429,32500,25-34,Dublin,semi-detached,
K-11144,Payer,4,1,no,0,0,24,0,0,485,26500,55-64,Dublin,terrace,
K-11145,Switcher,1,1,no,1,4,5,0,0,327,26500,45-54,Munster,terrace,no
K-11146,Payer,4,2,no,0,0,18,0,1,445,27500,25-34,Dublin,terrace,
K-11147,Switcher,3,1,no,3,4,5,0,1,441,55000,45-54,Ulster,detached,yes
K-11148,Payer,4,1,yes,0,0,24,1,1,426,31000,35-44,Dublin,terrace,no
K-11149,Payer,2,1,no,0,0,24,1,0,445,39500,55-64,Dublin,bungalow,no
K-11150,Juggler,2,2,no,0,2,8,0,1,854,37000,25-34,Munster,detached,no
K-11151,Switcher,1,1,no,2,3,3,1,0,354,25500,55-64,Connacht,terrace,no
K-11152,Payer,2,2,yes,0,0,27,0,0,384,21500,35-44,Munster,apartment,
K-11153,Juggler,1,2,yes,1,2,15,3,0,697,36500,25-34,Dublin,terrace,yes
K-11154,Juggler,3,2,no,2,2,9,2,0,643,35500,45-54,Dublin,terrace,no
K-11155,Juggler,3,2,yes,2,2,14,0,1,557,30000,55-64,Dublin,apartment,no
K-11156,Payer,2,1,yes,0,0,16,1,1,405,35500,55-64,Dublin,terrace,no
K-11157,Payer,2,2,yes,0,0,15,1,0,462,28000,35-44,Rest of Leinster,terrace,
K-11158,Switcher,2,2,no,3,5,8,0,0,389,31000,35-44,Munster,terrace,no
K-11159,Payer,3,1,yes,0,0,14,0,2,486,31000,45-54,Dublin,terrace,yes
K-11160,Payer,2,1,yes,0,0,24,0,0,602,51000,35-44,Munster,detached,
K-11161,Payer,2,1,yes,0,0,16,1,0,549,50000,35-44,Munster,detached,yes
K-11162,Switcher,1,1,yes,2,5,3,1,0,317,29500,55-64,Munster,apartment,no
K-11163,Payer,3,2,yes,0,0,14,1,1,494,38500,35-44,Munster,semi-detached,
K-11164,Switcher,3,1,yes,3,5,2,2,1,469,41000,35-44,Munster,detached,no
K-11165,Switcher,2,1,no,2,3,6,0,0,354,38500,35-44,Rest of Leinster,bungalow,no
K-11166,Juggler,3,3,yes,0,0,7,1,2,1369,50000,55-64,Connacht,detached,no
K-11167,Payer,2,1,yes,0,0,17,0,0,429,39000,35-44,Dublin,semi-detached,no
K-11168,Payer,4,1,yes,0,0,9,0,0,355,24000,45-54,Munster,apartment,
K-11169,Payer,4,1,yes,0,1,18,0,0,475,31000,45-54,Connacht,semi-detached,yes
K-11170,Juggler,3,2,no,1,1,12,3,1,605,29000,45-54,Dublin,terrace,no
K-11171,Switcher,2,1,no,1,4,6,0,1,291,21500,35-44,Dublin,apartment,no
K-11172,Juggler,1,4,yes,1,0,4,3,0,1268,31500,35-44,Rest of Leinster,terrace,no
K-11173,Juggler,2,2,yes,1,1,12,1,0,935,53500,55-64,Rest of Leinster,detached,no
K-11174,Switcher,1,2,no,2,5,2,0,0,440,39500,25-34,Dublin,detached,yes
K-11175,Juggler,1,3,yes,0,2,4,1,0,1216,31500,25-34,Connacht,semi-detached,yes
K-11176,Juggler,3,2,yes,0,0,8,2,0,751,34000,35-44,Dublin,semi-detached,yes
K-11177,Juggler,3,3,no,2,1,12,3,0,988,34000,35-44,Dublin,terrace,no
K-11178,Payer,1,2,yes,0,1,13,1,0,352,25500,55-64,Dublin,terrace,no
K-11179,Juggler,2,2,yes,2,1,4,3,1,944,47000,55-64,Rest of Leinster,detached,no
K-11180,Payer,2,2,yes,1,0,10,1,0,636,39000,65+,Dublin,detached,no
K-11181,Switcher,3,1,yes,2,4,4,0,0,267,26500,35-44,Rest of Leinster,apartment,no
K-11182,Juggler,1,2,no,0,1,8,3,0,1047,52500,65+,Rest of Leinster,detached,no
K-11183,Payer,3,1,yes,1,1,19,0,2,377,31500,25-34,Ulster,apartment,yes
K-11184,Juggler,1,3,yes,0,1,5,3,1,1060,28000,55-64,Ulster,terrace,no
K-11185,Juggler,4,3,yes,1,1,12,1,0,1009,34500,25-34,Connacht,semi-detached,no
K-11186,Switcher,1,1,no,2,5,7,0,0,339,25500,25-34,Dublin,terrace,no
K-11187,Switcher,1,1,no,2,4,1,0,0,379,36500,25-34,Dublin,semi-detached,no
K-11188,Juggler,3,3,no,1,2,9,1,0,1059,30500,55-64,Rest of Leinster,terrace,no
K-11189,Switcher,2,1,no,2,4,2,0,0,303,21500,25-34,Dublin,apartment,no
K-11190,Juggler,2,3,yes,1,0,15,2,1,1426,47000,35-44,Munster,detached,yes
K-11191,Payer,3,1,yes,0,0,11,0,0,527,34000,25-34,Munster,semi-detached,
K-11192,Payer,2,1,yes,0,0,12,2,0,420,40500,25-34,Munster,semi-detached,yes
K-11193,Switcher,2,1,yes,2,5,2,0,0,451,52000,25-34,Munster,detached,yes
K-11194,Payer,2,1,yes,0,0,21,1,0,482,40500,35-44,Connacht,semi-detached,yes
K-11195,Payer,2,1,no,0,0,19,1,0,409,41500,55-64,Dublin,semi-detached,no
K-11196,Payer,3,2,yes,0,0,20,1,0,450,28000,35-44,Rest of Leinster,terrace,yes
K-11197,Switcher,1,1,no,1,4,6,1,0,474,54500,25-34,Ulster,detached,yes
K-11198,Payer,2,2,yes,0,0,28,0,0,476,36500,25-34,Rest of Leinster,semi-detached,no
K-11199,Juggler,4,2,no,1,1,11,1,0,735,32000,35-44,Munster,bungalow,yes
K-11200,Payer,3,1,yes,0,1,9,0,0,512,32500,35-44,Rest of Leinster,semi-detached,
K-11201,Payer,4,1,yes,0,0,11,0,0,409,32000,25-34,Dublin,terrace,
K-11202,Switcher,1,1,no,2,5,6,0,0,402,40000,45-54,Dublin,semi-detached,no
K-11203,Switcher,4,1,no,1,3,5,0,0,414,36000,65+,Dublin,semi-detached,no
K-11204,Payer,1,2,yes,0,0,21,1,1,487,55000,35-44,Dublin,detached,
K-11205,Payer,4,1,yes,1,0,15,1,0,475,43000,45-54,Dublin,semi-detached,yes
K-11206,Juggler,3,2,yes,2,2,8,1,0,753,30000,25-34,Rest of Leinster,terrace,yes
K-11207,Juggler,1,3,yes,0,0,7,1,1,1159,28500,55-64,Dublin,semi-detached,no
K-11208,Juggler,2,2,no,1,1,7,2,0,916,56500,35-44,Rest of Leinster,detached,yes
K-11209,Switcher,1,1,no,2,4,5,1,1,348,34000,45-54,Rest of Leinster,semi-detached,yes
K-11210,Juggler,4,2,yes,1,1,10,2,0,589,27500,35-44,Dublin,apartment,no
K-11211,Payer,4,1,yes,0,0,14,0,0,481,30500,55-64,Dublin,semi-detached,no
K-11212,Payer,2,1,yes,0,0,20,0,0,465,33500,35-44,Rest of Leinster,terrace,yes
K-11213,Switcher,1,1,no,2,2,4,0,0,397,41500,45-54,Munster,semi-detached,no
K-11214,Switcher,2,1,no,3,5,6,1,0,332,22000,25-34,Dublin,apartment,no
K-11215,Switcher,1,2,no,3,5,4,0,1,346,32000,65+,Dublin,semi-detached,no
K-11216,Juggler,4,3,yes,1,2,8,3,0,1115,34500,35-44,Dublin,semi-detached,no
K-11217,Payer,3,1,yes,0,0,18,0,0,441,37000,65+,Dublin,semi-detached,
K-11218,Payer,4,2,yes,0,0,12,0,0,481,40500,55-64,Dublin,semi-detached,no
K-11219,Switcher,3,1,no,1,5,3,1,0,345,39000,35-44,Dublin,semi-detached,no
K-11220,Juggler,2,4,yes,2,3,12,1,0,1472,28500,45-54,Munster,semi-detached,no
K-11221,Switcher,2,1,no,1,2,2,0,0,429,40500,25-34,Munster,detached,yes
K-11222,Payer,3,1,yes,0,0,10,0,0,533,40000,45-54,Ulster,semi-detached,yes
K-11223,Juggler,2,4,yes,1,2,8,0,0,1529,32500,35-44,Rest of Leinster,semi-detached,yes
K-11224,Switcher,4,1,no,3,2,6,0,1,512,49500,35-44,Dublin,detached,yes
K-11225,Switcher,1,1,no,3,4,4,0,0,385,40000,35-44,Connacht,semi-detached,no
K-11226,Juggler,1,3,yes,0,1,9,2,0,1269,41500,55-64,Connacht,bungalow,no
K-11227,Switcher,2,1,no,1,4,4,1,2,285,23500,25-34,Connacht,apartment,yes
K-11228,Switcher,3,1,no,2,3,4,0,0,436,41000,45-54,Rest of Leinster,semi-detached,yes
K-11229,Juggler,3,3,yes,0,1,10,3,1,1157,31000,35-44,Dublin,semi-detached,no
K-11230,Juggler,1,3,no,1,0,7,1,0,1116,41500,45-54,Rest of Leinster,semi-detached,
K-11231,Payer,1,1,yes,0,0,15,2,1,302,26000,25-34,Rest of Leinster,apartment,no
K-11232,Switcher,1,1,no,1,4,3,0,0,265,29500,55-64,Rest of Leinster,apartment,no
K-11233,Payer,1,1,yes,0,0,8,0,0,320,28500,35-44,Dublin,apartment,yes
K-11234,Juggler,3,2,no,1,1,6,2,0,712,31500,65+,Rest of Leinster,terrace,no
K-11235,Juggler,4,3,yes,1,0,7,0,0,946,30000,65+,Ulster,terrace,no
K-11236,Payer,3,1,yes,0,0,7,0,0,431,35500,35-44,Dublin,semi-detached,
K-11237,Juggler,2,2,yes,1,1,13,1,0,763,31000,35-44,Rest of Leinster,terrace,yes
K-11238,Payer,2,1,yes,0,0,14,1,0,569,49000,35-44,Munster,detached,yes
K-11239,Switcher,2,1,no,2,5,5,0,0,488,39500,65+,Munster,detached,no
K-11240,Switcher,1,1,no,3,2,7,1,0,315,35000,55-64,Dublin,terrace,no
K-11241,Payer,3,2,yes,1,0,15,0,0,516,33000,25-34,Connacht,semi-detached,
K-11242,Juggler,2,3,no,1,1,10,4,0,801,27000,55-64,Munster,apartment,no
K-11243,Juggler,3,3,yes,0,2,6,4,0,1126,34000,35-44,Munster,semi-detached,yes
K-11244,Switcher,1,1,no,2,4,4,0,0,388,39000,45-54,Rest of Leinster,bungalow,no
K-11245,Switcher,1,1,no,2,5,5,0,0,332,24500,35-44,Connacht,terrace,no
K-11246,Juggler,1,3,yes,1,1,9,1,0,1083,35500,55-64,Munster,terrace,no
K-11247,Payer,4,1,no,0,0,13,0,0,525,29000,25-34,Rest of Leinster,semi-detached,
K-11248,Payer,3,1,yes,0,1,15,0,0,484,35000,55-64,Dublin,semi-detached,no
K-11249,Payer,2,2,yes,0,0,33,0,0,447,32000,55-64,Dublin,semi-detached,
K-11250,Juggler,4,2,no,2,2,8,2,0,700,27000,65+,Rest of Leinster,terrace,no
K-11251,Payer,3,1,yes,0,0,7,2,0,384,21500,65+,Rest of Leinster,apartment,
K-11252,Switcher,4,1,yes,1,5,1,0,1,366,33500,35-44,Connacht,semi-detached,yes
K-11253,Payer,3,1,yes,0,1,13,2,0,441,25500,35-44,Dublin,terrace,no
K-11254,Juggler,1,4,yes,1,1,6,2,0,1665,28500,45-54,Munster,semi-detached,no
K-11255,Switcher,2,2,no,2,2,3,0,0,347,37500,55-64,Munster,semi-detached,no
K-11256,Switcher,1,1,no,2,2,1,0,0,368,34500,65+,Munster,semi-detached,no
K-11257,Switcher,1,2,no,3,3,4,0,0,286,27000,35-44,Dublin,apartment,no
K-11258,Switcher,3,1,no,3,5,7,1,1,432,52500,35-44,Ulster,detached,yes
K-11259,Payer,1,1,no,0,0,6,0,0,453,31500,25-34,Munster,semi-detached,no
K-11260,Switcher,2,1,no,1,3,1,1,1,358,27500,55-64,Dublin,terrace,no
K-11261,Switcher,2,1,no,3,5,3,0,0,375,33000,55-64,Dublin,terrace,no
K-11262,Payer,3,1,yes,0,0,25,1,0,508,39000,55-64,Munster,bungalow,no
K-11263,Juggler,2,2,yes,1,1,2,1,1,841,32500,25-34,Rest of Leinster,semi-detached,no
K-11264,Payer,3,1,yes,0,1,14,2,0,421,36000,25-34,Dublin,terrace,yes
K-11265,Switcher,1,1,no,2,3,3,0,1,504,38500,65+,Rest of Leinster,detached,no
K-11266,Payer,2,2,no,0,0,11,1,0,588,43000,25-34,Munster,detached,
K-11267,Payer,1,1,yes,0,0,16,2,0,392,40000,25-34,Dublin,semi-detached,no
K-11268,Switcher,2,2,no,2,5,2,0,0,352,35500,35-44,Munster,semi-detached,no
K-11269,Switcher,1,2,no,2,3,4,0,0,302,28000,35-44,Connacht,apartment,no
K-11270,Payer,4,1,no,1,0,21,1,0,450,28500,55-64,Rest of Leinster,terrace,
K-11271,Switcher,2,1,no,3,3,2,0,0,492,39000,35-44,Munster,detached,no
K-11272,Switcher,4,2,no,3,4,3,0,0,319,24500,55-64,Ulster,apartment,no
K-11273,Payer,4,1,yes,0,0,19,2,1,387,21500,45-54,Dublin,apartment,yes
K-11274,Switcher,2,1,no,2,5,1,1,1,353,27500,55-64,Munster,terrace,no
K-11275,Switcher,1,1,no,2,5,3,0,0,419,35000,45-54,Rest of Leinster,semi-detached,yes
K-11276,Juggler,4,4,yes,2,2,7,0,0,1388,33000,55-64,Dublin,terrace,no
K-11277,Juggler,1,2,yes,1,1,11,4,0,759,36500,35-44,Rest of Leinster,semi-detached,yes
K-11278,Payer,4,1,no,0,0,9,0,0,392,21000,65+,Connacht,apartment,
K-11279,Juggler,2,2,no,0,1,10,0,0,554,27500,25-34,Dublin,apartment,no
K-11280,Payer,3,1,yes,0,1,13,1,0,510,33000,55-64,Munster,semi-detached,
K-11281,Switcher,2,1,no,3,3,2,0,0,365,35500,25-34,Munster,semi-detached,yes
K-11282,Switcher,1,2,no,2,4,6,0,0,489,43000,45-54,Rest of Leinster,detached,no
K-11283,Payer,2,1,yes,0,0,15,1,0,407,37000,45-54,Munster,terrace,yes
K-11284,Payer,4,1,yes,0,0,11,1,0,651,50000,45-54,Rest of Leinster,detached,no
K-11285,Switcher,1,1,no,3,4,7,1,0,391,38000,25-34,Dublin,semi-detached,no
K-11286,Juggler,1,2,no,2,2,4,3,0,810,30000,65+,Connacht,semi-detached,no
K-11287,Juggler,2,3,no,0,1,14,2,2,1384,53500,35-44,Dublin,detached,no
K-11288,Payer,4,1,yes,0,0,25,0,0,471,28000,25-34,Dublin,semi-detached,no
K-11289,Switcher,1,1,no,3,4,8,0,0,345,40000,55-64,Rest of Leinster,semi-detached,yes
K-11290,Payer,3,2,yes,0,1,13,0,1,517,33500,35-44,Dublin,semi-detached,
