sector,county,staff,uses_ai,monthly_spend,round
Financial services,Cork,43,yes,141,H2 2025
Property,Louth,11,yes,199,H2 2025
Tourism and hospitality,Kildare,40,no,101,H1 2026
Tourism and hospitality,Meath,7,yes,399,H1 2026
Health,Limerick,49,yes,-14,H1 2026
Property,Meath,47,yes,185,H1 2026
Financial services,Meath,56,no,251,H1 2026
Public sector,Cork,12,yes,135,H1 2026
Professional services,Louth,56,no,283,H2 2025
Professional services,Cork,4,yes,251,H1 2026
Public sector,Meath,53,no,8,H1 2026
Financial services,Limerick,4,yes,286,H2 2025
Health,Louth,35,yes,6,H1 2026
Professional services,Galway,46,yes,141,H1 2026
Professional services,Limerick,59,yes,255,H1 2026
Professional services,Louth,23,no,60,H2 2025
Health,Cork,55,no,175,H1 2026
Retail and ecommerce,Cork,20,yes,308,H1 2026
Public sector,Meath,36,no,131,H2 2025
Retail and ecommerce,Louth,8,yes,461,H2 2025
Professional services,Meath,42,yes,146,H1 2026
Retail and ecommerce,Louth,37,yes,106,H2 2025
Public sector,Mayo,48,yes,209,H2 2025
Professional services,Louth,30,yes,129,H1 2026
Tourism and hospitality,Meath,34,no,263,H2 2025
Professional services,Meath,29,yes,169,H2 2025
Financial services,Limerick,32,yes,-55,H1 2026
Public sector,Limerick,11,no,316,H1 2026
Professional services,Kildare,47,yes,-36,H1 2026
Professional services,Kildare,23,yes,36,H1 2026
Professional services,Louth,38,yes,230,H1 2026
Retail and ecommerce,Louth,21,yes,86,H2 2025
Public sector,Limerick,43,yes,227,H1 2026
Professional services,Limerick,21,no,182,H1 2026
Financial services,Louth,38,no,56,H1 2026
Financial services,Louth,-2,no,378,H1 2026
Property,Kildare,42,no,18,H1 2026
Property,Limerick,23,no,118,H2 2025
Retail and ecommerce,Cork,59,yes,203,H2 2025
Professional services,Limerick,20,no,146,H1 2026
Public sector,Cork,35,no,178,H2 2025
Professional services,Limerick,22,yes,256,H2 2025
Tourism and hospitality,Galway,58,no,-54,H1 2026
Retail and ecommerce,Galway,-1,yes,318,H1 2026
Tourism and hospitality,Meath,44,no,110,H1 2026
Retail and ecommerce,Louth,41,no,24,H2 2025
Professional services,Meath,43,no,72,H1 2026
Property,Louth,16,yes,118,H2 2025
Public sector,Cork,55,yes,160,H1 2026
Professional services,Louth,31,no,336,H2 2025
Property,Meath,30,no,134,H1 2026
Financial services,Kildare,-2,no,311,H2 2025
Professional services,Kildare,56,no,135,H1 2026
Health,Mayo,41,no,39,H1 2026
Property,Meath,54,yes,116,H1 2026
Tourism and hospitality,Louth,20,yes,180,H2 2025
Tourism and hospitality,Galway,32,no,177,H2 2025
Health,Limerick,19,no,193,H1 2026
Tourism and hospitality,Limerick,37,yes,101,H1 2026
Professional services,Mayo,15,no,401,H2 2025
Professional services,Mayo,41,no,-19,H2 2025
Financial services,Limerick,31,no,202,H2 2025
Tourism and hospitality,Galway,48,no,150,H1 2026
Public sector,Louth,21,no,243,H1 2026
Property,Cork,49,yes,257,H1 2026
Professional services,Mayo,20,yes,175,H1 2026
Health,Louth,32,yes,81,H1 2026
Retail and ecommerce,Meath,2,no,304,H1 2026
Financial services,Mayo,51,yes,25,H2 2025
Public sector,Kildare,43,yes,199,H1 2026
Financial services,Meath,60,yes,201,H1 2026
Financial services,Louth,17,no,72,H1 2026
Tourism and hospitality,Mayo,56,yes,142,H1 2026
Financial services,Meath,25,yes,279,H2 2025
Professional services,Louth,50,yes,61,H1 2026
Professional services,Meath,-12,yes,293,H2 2025
Property,Cork,57,no,-1,H2 2025
Health,Mayo,33,no,70,H2 2025
Property,Louth,49,yes,120,H2 2025
Property,Kildare,30,yes,91,H1 2026
Tourism and hospitality,Cork,42,yes,168,H2 2025
Professional services,Louth,19,no,341,H1 2026
Retail and ecommerce,Limerick,33,yes,82,H1 2026
Property,Kildare,-8,yes,427,H2 2025
Tourism and hospitality,Galway,34,yes,-23,H1 2026
Retail and ecommerce,Kildare,23,no,115,H2 2025
Health,Louth,47,no,201,H1 2026
Tourism and hospitality,Galway,19,no,83,H2 2025
Health,Meath,57,no,189,H2 2025
Health,Galway,23,yes,160,H1 2026
Property,Meath,45,yes,5,H2 2025
Financial services,Mayo,10,yes,391,H1 2026
Financial services,Kildare,46,yes,-12,H2 2025
Tourism and hospitality,Galway,33,yes,29,H2 2025
Property,Cork,50,yes,245,H1 2026
Financial services,Kildare,14,yes,89,H2 2025
Public sector,Kildare,38,no,321,H1 2026
Professional services,Meath,18,yes,203,H1 2026
Public sector,Galway,38,yes,106,H1 2026
Professional services,Cork,16,yes,393,H1 2026
Property,Limerick,58,yes,-2,H2 2025
Health,Cork,31,no,171,H2 2025
Tourism and hospitality,Louth,36,yes,194,H1 2026
Financial services,Louth,22,no,113,H2 2025
Public sector,Kildare,54,no,196,H1 2026
Retail and ecommerce,Louth,21,yes,313,H1 2026
Financial services,Cork,37,yes,-60,H1 2026
Property,Limerick,-11,no,273,H1 2026
Property,Louth,49,no,151,H1 2026
Retail and ecommerce,Louth,26,no,64,H1 2026
Professional services,Galway,47,yes,219,H1 2026
Retail and ecommerce,Mayo,20,yes,81,H1 2026
Health,Kildare,58,no,281,H2 2025
Financial services,Louth,30,yes,298,H1 2026
Tourism and hospitality,Mayo,46,no,115,H2 2025
Professional services,Kildare,6,no,280,H2 2025
Tourism and hospitality,Louth,53,no,38,H2 2025
Public sector,Meath,39,no,116,H1 2026
Professional services,Galway,42,no,213,H2 2025
Retail and ecommerce,Cork,15,yes,100,H2 2025
Professional services,Galway,52,yes,163,H2 2025
Tourism and hospitality,Meath,11,no,195,H1 2026
Retail and ecommerce,Mayo,49,yes,-30,H1 2026
Retail and ecommerce,Limerick,-2,yes,413,H2 2025
Health,Kildare,50,yes,107,H1 2026
Property,Limerick,22,no,81,H2 2025
Professional services,Cork,47,no,244,H1 2026
Tourism and hospitality,Meath,31,no,206,H1 2026
Public sector,Limerick,35,yes,227,H1 2026
Property,Limerick,11,yes,268,H1 2026
Health,Galway,52,yes,-60,H1 2026
Property,Galway,3,no,339,H1 2026
Retail and ecommerce,Louth,53,no,47,H1 2026
Professional services,Galway,30,no,157,H2 2025
Tourism and hospitality,Mayo,55,no,67,H2 2025
Tourism and hospitality,Galway,29,no,136,H2 2025
Professional services,Meath,53,no,191,H1 2026
Professional services,Mayo,14,no,162,H1 2026
Professional services,Limerick,40,yes,-51,H2 2025
Financial services,Cork,-8,no,310,H2 2025
Professional services,Louth,50,no,116,H2 2025
Tourism and hospitality,Meath,39,no,139,H2 2025
Public sector,Louth,60,yes,190,H2 2025
Retail and ecommerce,Mayo,21,yes,213,H2 2025
Property,Limerick,60,no,241,H2 2025
Financial services,Cork,29,no,201,H2 2025
Financial services,Galway,38,yes,67,H2 2025
Retail and ecommerce,Limerick,14,yes,350,H1 2026
Financial services,Mayo,56,no,71,H2 2025
Tourism and hospitality,Galway,20,yes,179,H1 2026
Professional services,Galway,38,yes,141,H2 2025
Tourism and hospitality,Mayo,22,yes,211,H1 2026
Public sector,Limerick,40,no,261,H1 2026
Professional services,Louth,14,yes,195,H2 2025
Professional services,Limerick,37,yes,32,H1 2026
Property,Mayo,-9,no,348,H1 2026
Health,Limerick,48,no,-14,H2 2025
Public sector,Kildare,37,yes,130,H2 2025
Financial services,Galway,59,no,184,H2 2025
Professional services,Mayo,19,no,208,H2 2025
Professional services,Galway,46,no,205,H2 2025
Financial services,Louth,13,no,296,H2 2025
Retail and ecommerce,Louth,43,yes,-36,H2 2025
Professional services,Meath,9,no,333,H1 2026
Tourism and hospitality,Louth,57,no,135,H2 2025
Public sector,Mayo,35,no,129,H1 2026
Financial services,Cork,49,no,212,H1 2026
Tourism and hospitality,Galway,27,no,230,H1 2026
Professional services,Louth,41,no,189,H2 2025
Public sector,Meath,5,no,275,H1 2026
Retail and ecommerce,Kildare,53,no,113,H2 2025
Tourism and hospitality,Meath,3,no,306,H2 2025
Public sector,Louth,45,yes,-29,H2 2025
Retail and ecommerce,Louth,21,yes,219,H2 2025
Public sector,Limerick,61,yes,178,H1 2026
Retail and ecommerce,Kildare,14,no,207,H1 2026
Professional services,Kildare,48,no,149,H1 2026
Professional services,Limerick,16,yes,295,H1 2026
Property,Cork,32,yes,74,H1 2026
Tourism and hospitality,Louth,9,no,276,H1 2026
Professional services,Louth,37,yes,149,H1 2026
Retail and ecommerce,Mayo,45,yes,127,H1 2026
Professional services,Galway,38,yes,207,H1 2026
Property,Meath,21,no,119,H1 2026
Health,Limerick,55,no,291,H2 2025
Health,Cork,11,yes,177,H2 2025
Public sector,Louth,50,no,121,H1 2026
Tourism and hospitality,Kildare,-4,no,453,H2 2025
Professional services,Cork,53,yes,46,H1 2026
Professional services,Louth,39,yes,108,H2 2025
Financial services,Meath,41,no,88,H2 2025
Public sector,Galway,32,no,238,H1 2026
Public sector,Galway,34,no,181,H2 2025
Property,Mayo,8,no,246,H2 2025
Professional services,Galway,44,no,97,H2 2025
Tourism and hospitality,Limerick,-10,yes,435,H2 2025
Professional services,Cork,37,yes,82,H1 2026
Public sector,Meath,24,no,32,H1 2026
Property,Limerick,52,no,235,H2 2025
Professional services,Kildare,35,yes,182,H2 2025
Property,Meath,49,no,211,H1 2026
Tourism and hospitality,Galway,13,yes,256,H2 2025
Public sector,Mayo,34,yes,85,H2 2025
Health,Meath,8,no,314,H2 2025
Tourism and hospitality,Mayo,37,yes,89,H1 2026
Financial services,Galway,25,yes,167,H2 2025
Property,Limerick,46,no,211,H1 2026
Retail and ecommerce,Meath,34,no,183,H1 2026
Public sector,Galway,55,no,325,H2 2025
Professional services,Louth,24,yes,242,H1 2026
Tourism and hospitality,Louth,31,yes,-49,H1 2026
Retail and ecommerce,Limerick,-7,no,457,H2 2025
Tourism and hospitality,Louth,40,no,-25,H2 2025
Professional services,Cork,25,no,194,H2 2025
Professional services,Louth,41,yes,134,H2 2025
Retail and ecommerce,Galway,33,no,130,H1 2026
Retail and ecommerce,Mayo,38,yes,291,H2 2025
Professional services,Kildare,15,no,218,H2 2025
Financial services,Louth,58,no,-14,H1 2026
Tourism and hospitality,Louth,15,yes,377,H1 2026
Retail and ecommerce,Limerick,38,yes,59,H1 2026
Public sector,Louth,31,no,203,H1 2026
Health,Cork,61,no,185,H2 2025
Retail and ecommerce,Louth,31,no,156,H1 2026
Health,Kildare,43,no,264,H2 2025
Professional services,Louth,9,yes,213,H2 2025
Professional services,Mayo,50,yes,53,H2 2025
Professional services,Louth,10,yes,367,H1 2026
Financial services,Meath,43,yes,31,H2 2025
Public sector,Louth,27,yes,56,H1 2026
Professional services,Galway,57,yes,166,H1 2026
Professional services,Cork,23,no,140,H1 2026
Retail and ecommerce,Cork,38,no,144,H2 2025
Professional services,Kildare,27,yes,270,H2 2025
Financial services,Meath,52,yes,44,H1 2026
Professional services,Louth,7,yes,319,H1 2026
Professional services,Mayo,56,no,129,H2 2025
Retail and ecommerce,Mayo,30,yes,146,H2 2025
Health,Limerick,54,yes,239,H2 2025
Public sector,Limerick,15,no,188,H1 2026
Professional services,Kildare,48,yes,204,H1 2026
Public sector,Cork,18,yes,277,H1 2026
Professional services,Galway,49,yes,-34,H2 2025
Financial services,Louth,8,no,366,H2 2025
Professional services,Limerick,40,no,95,H1 2026
Financial services,Meath,45,no,93,H1 2026
Property,Cork,34,yes,184,H2 2025
Professional services,Louth,26,yes,233,H1 2026
Professional services,Meath,57,no,155,H2 2025
Public sector,Cork,31,yes,210,H2 2025
Financial services,Kildare,39,yes,44,H1 2026
Financial services,Meath,8,yes,321,H2 2025
Financial services,Mayo,45,no,-36,H1 2026
Tourism and hospitality,Meath,23,no,45,H1 2026
Property,Louth,43,no,207,H1 2026
Public sector,Meath,13,yes,118,H1 2026
Retail and ecommerce,Mayo,32,no,152,H1 2026
Tourism and hospitality,Louth,24,yes,224,H1 2026
Health,Galway,52,yes,126,H1 2026
Professional services,Limerick,0,no,271,H1 2026
Health,Cork,40,yes,144,H1 2026
Health,Cork,31,no,181,H1 2026
Financial services,Louth,52,no,155,H1 2026
Tourism and hospitality,Louth,34,yes,190,H2 2025
Tourism and hospitality,Cork,39,no,255,H1 2026
Professional services,Cork,13,yes,155,H2 2025
Public sector,Limerick,56,yes,55,H1 2026
Professional services,Cork,6,no,437,H1 2026
Tourism and hospitality,Galway,33,no,138,H1 2026
Health,Cork,38,yes,62,H2 2025
Retail and ecommerce,Kildare,58,no,67,H1 2026
Health,Galway,19,no,104,H2 2025
Health,Limerick,58,no,269,H2 2025
Tourism and hospitality,Cork,30,yes,233,H2 2025
Health,Meath,47,no,125,H2 2025
Financial services,Cork,9,no,428,H2 2025
Tourism and hospitality,Cork,51,yes,159,H1 2026
Professional services,Mayo,45,no,35,H2 2025
Property,Limerick,56,no,191,H1 2026
Professional services,Galway,32,no,197,H2 2025
Tourism and hospitality,Louth,59,yes,190,H2 2025
Health,Louth,27,no,240,H1 2026
Professional services,Galway,34,yes,59,H1 2026
Retail and ecommerce,Louth,13,no,388,H2 2025
Public sector,Mayo,46,yes,124,H1 2026
Health,Mayo,23,no,219,H1 2026
Property,Louth,34,yes,102,H1 2026
Professional services,Kildare,33,no,112,H1 2026
Professional services,Limerick,60,yes,282,H2 2025
Retail and ecommerce,Limerick,11,no,274,H1 2026
Public sector,Limerick,36,no,5,H1 2026
Health,Louth,7,yes,312,H2 2025
Retail and ecommerce,Limerick,60,no,131,H1 2026
Professional services,Galway,33,no,95,H2 2025
Professional services,Louth,51,no,257,H1 2026
Public sector,Limerick,14,yes,200,H2 2025
Professional services,Louth,40,yes,174,H1 2026
Public sector,Louth,12,no,176,H1 2026
Public sector,Louth,31,yes,-12,H2 2025
Public sector,Limerick,-9,no,309,H2 2025
Tourism and hospitality,Louth,60,yes,148,H2 2025
Financial services,Meath,47,no,197,H1 2026
Financial services,Louth,41,no,236,H2 2025
Health,Meath,28,no,119,H1 2026
Financial services,Louth,52,yes,194,H2 2025
Retail and ecommerce,Cork,13,no,277,H1 2026
Health,Cork,50,no,128,H1 2026
Professional services,Cork,2,yes,398,H1 2026
Professional services,Louth,58,yes,147,H1 2026
Tourism and hospitality,Limerick,31,yes,219,H2 2025
Public sector,Louth,57,no,179,H2 2025
Retail and ecommerce,Kildare,9,yes,104,H2 2025
Financial services,Louth,41,yes,216,H1 2026
Retail and ecommerce,Cork,22,yes,151,H2 2025
Tourism and hospitality,Kildare,35,no,85,H1 2026
Professional services,Louth,9,yes,362,H2 2025
Public sector,Cork,50,no,127,H2 2025
Property,Louth,42,no,200,H1 2026
Professional services,Louth,54,yes,94,H1 2026
Property,Kildare,14,no,55,H1 2026
Health,Mayo,47,yes,206,H1 2026
Professional services,Louth,30,no,346,H1 2026
Retail and ecommerce,Kildare,53,no,42,H2 2025
Health,Galway,9,yes,434,H2 2025
Public sector,Louth,53,yes,20,H2 2025
Professional services,Louth,26,no,195,H1 2026
Professional services,Mayo,43,no,178,H1 2026
Property,Limerick,22,yes,245,H2 2025
Financial services,Louth,41,no,168,H2 2025
Tourism and hospitality,Cork,21,no,272,H2 2025
Public sector,Louth,56,no,24,H2 2025
Health,Meath,11,yes,272,H1 2026
Property,Louth,50,no,-16,H1 2026
Tourism and hospitality,Mayo,40,no,178,H2 2025
Financial services,Galway,42,no,122,H1 2026
Public sector,Louth,30,no,171,H1 2026
Professional services,Galway,44,no,220,H2 2025
Professional services,Cork,29,no,254,H2 2025
Tourism and hospitality,Cork,50,no,-33,H1 2026
Tourism and hospitality,Limerick,3,yes,397,H1 2026
Financial services,Kildare,53,yes,94,H1 2026
Professional services,Meath,46,yes,220,H1 2026
Public sector,Cork,59,no,245,H1 2026
Retail and ecommerce,Limerick,33,yes,76,H2 2025
Professional services,Limerick,43,yes,227,H1 2026
Retail and ecommerce,Louth,31,yes,183,H2 2025
Tourism and hospitality,Limerick,48,yes,-41,H2 2025
Professional services,Cork,7,yes,349,H1 2026
Retail and ecommerce,Galway,52,yes,160,H2 2025
Professional services,Cork,23,no,32,H2 2025
Public sector,Limerick,44,no,198,H2 2025
Public sector,Cork,21,yes,83,H2 2025
Property,Galway,53,yes,273,H2 2025
Public sector,Galway,21,yes,239,H2 2025
Public sector,Louth,56,no,88,H1 2026
Professional services,Meath,3,yes,412,H2 2025
Professional services,Galway,39,yes,101,H2 2025
Public sector,Galway,22,yes,127,H2 2025
Tourism and hospitality,Mayo,44,yes,192,H2 2025
Professional services,Meath,19,no,178,H1 2026
Property,Louth,38,no,240,H1 2026
Health,Cork,12,yes,202,H2 2025
Property,Meath,33,yes,-60,H2 2025
Professional services,Galway,15,no,333,H1 2026
Professional services,Louth,48,no,-28,H1 2026
Professional services,Kildare,37,no,54,H2 2025
Public sector,Louth,45,no,95,H1 2026
Financial services,Limerick,8,no,171,H1 2026
Professional services,Cork,40,yes,146,H2 2025
Property,Kildare,14,yes,244,H2 2025
Public sector,Meath,31,no,108,H1 2026
Property,Louth,15,yes,356,H2 2025
Health,Louth,40,no,37,H2 2025
Tourism and hospitality,Kildare,33,yes,137,H2 2025
Health,Meath,56,no,185,H1 2026
Retail and ecommerce,Meath,31,no,171,H2 2025
Professional services,Cork,41,yes,234,H1 2026
Financial services,Cork,28,yes,208,H1 2026
Professional services,Kildare,48,yes,17,H1 2026
Financial services,Louth,-6,no,377,H2 2025
Property,Kildare,34,no,-26,H1 2026
Financial services,Limerick,27,no,172,H1 2026
Property,Meath,51,yes,235,H2 2025
Retail and ecommerce,Cork,13,yes,93,H1 2026
Professional services,Meath,45,no,251,H2 2025
Retail and ecommerce,Mayo,22,no,261,H2 2025
Health,Louth,56,yes,113,H1 2026
Retail and ecommerce,Louth,7,yes,281,H2 2025
Tourism and hospitality,Limerick,47,yes,147,H2 2025
Financial services,Cork,42,no,91,H1 2026
Public sector,Kildare,58,no,66,H1 2026
Property,Mayo,12,yes,187,H2 2025
Public sector,Mayo,34,yes,211,H1 2026
Financial services,Limerick,13,yes,214,H2 2025
Retail and ecommerce,Louth,45,yes,104,H2 2025
Property,Mayo,11,yes,437,H1 2026
Property,Mayo,60,no,68,H1 2026
Public sector,Kildare,44,yes,166,H1 2026
Financial services,Galway,56,yes,103,H1 2026
Public sector,Cork,12,no,222,H2 2025
Public sector,Cork,51,yes,172,H2 2025
Health,Mayo,18,no,300,H2 2025
Professional services,Louth,57,no,-6,H1 2026
Tourism and hospitality,Cork,6,yes,387,H2 2025
Professional services,Galway,48,yes,136,H1 2026
Health,Louth,36,yes,119,H2 2025
Professional services,Mayo,51,yes,65,H2 2025
Health,Galway,15,no,137,H1 2026
Professional services,Mayo,56,yes,131,H1 2026
Professional services,Galway,30,yes,221,H1 2026
Professional services,Cork,38,yes,125,H1 2026
Health,Louth,-7,no,328,H2 2025
Retail and ecommerce,Kildare,57,no,64,H1 2026
Professional services,Kildare,32,no,61,H1 2026
Public sector,Cork,40,yes,200,H1 2026
Property,Cork,21,yes,85,H2 2025
Tourism and hospitality,Meath,53,yes,182,H2 2025
Tourism and hospitality,Limerick,17,no,266,H1 2026
Public sector,Kildare,42,no,-46,H1 2026
Professional services,Galway,6,no,395,H1 2026
Financial services,Mayo,55,no,13,H2 2025
Tourism and hospitality,Mayo,39,no,94,H1 2026
Health,Kildare,62,yes,200,H1 2026
Professional services,Meath,22,no,217,H1 2026
Property,Meath,37,yes,152,H2 2025
Professional services,Louth,12,no,213,H2 2025
Property,Limerick,46,yes,62,H1 2026
Tourism and hospitality,Louth,5,yes,445,H1 2026
Health,Galway,60,no,-25,H2 2025
Public sector,Louth,38,no,74,H1 2026
Property,Louth,43,no,198,H1 2026
Professional services,Meath,31,no,110,H1 2026
Tourism and hospitality,Meath,50,yes,235,H1 2026
Professional services,Meath,21,yes,287,H1 2026
Retail and ecommerce,Louth,53,yes,-23,H1 2026
Financial services,Mayo,3,yes,312,H1 2026
Professional services,Louth,61,yes,-10,H2 2025
Public sector,Louth,42,yes,115,H1 2026
Health,Cork,36,yes,88,H1 2026
Health,Louth,31,yes,84,H2 2025
Financial services,Mayo,50,yes,210,H2 2025
Financial services,Kildare,25,yes,231,H2 2025
Retail and ecommerce,Mayo,56,yes,64,H2 2025
Property,Limerick,0,no,388,H1 2026
Retail and ecommerce,Meath,43,yes,142,H1 2026
Health,Limerick,33,yes,87,H2 2025
Professional services,Louth,55,yes,126,H2 2025
Health,Cork,31,yes,164,H1 2026
Professional services,Meath,39,no,240,H2 2025
Property,Limerick,26,no,219,H1 2026
Retail and ecommerce,Galway,55,no,1,H2 2025
Retail and ecommerce,Louth,-4,no,352,H1 2026
Property,Mayo,56,yes,120,H2 2025
Health,Louth,30,yes,149,H1 2026
Public sector,Louth,57,no,203,H2 2025
Financial services,Mayo,11,no,124,H1 2026
Professional services,Louth,56,yes,257,H2 2025
Property,Galway,9,no,336,H1 2026
Health,Kildare,48,yes,58,H2 2025
Retail and ecommerce,Mayo,9,no,372,H2 2025
Professional services,Louth,41,yes,127,H2 2025
Tourism and hospitality,Mayo,23,no,133,H2 2025
Public sector,Kildare,44,no,196,H1 2026
Retail and ecommerce,Kildare,25,yes,206,H1 2026
Retail and ecommerce,Limerick,39,no,136,H1 2026
Financial services,Louth,7,no,316,H1 2026
Financial services,Galway,56,yes,3,H1 2026
Property,Galway,-8,yes,299,H1 2026
Public sector,Cork,50,yes,59,H2 2025
Professional services,Limerick,32,yes,55,H2 2025
Financial services,Galway,48,no,159,H1 2026
Retail and ecommerce,Kildare,23,yes,100,H1 2026
Financial services,Galway,38,no,288,H1 2026
Professional services,Kildare,17,no,193,H1 2026
Retail and ecommerce,Limerick,53,yes,65,H1 2026
Public sector,Kildare,14,yes,298,H1 2026
Financial services,Louth,54,yes,-6,H2 2025
Tourism and hospitality,Meath,46,yes,104,H1 2026
Tourism and hospitality,Meath,39,no,99,H2 2025
Health,Meath,15,no,118,H2 2025
Property,Louth,42,no,281,H1 2026
Tourism and hospitality,Limerick,22,yes,223,H1 2026
Professional services,Louth,45,no,127,H1 2026
Health,Cork,9,yes,349,H2 2025
Property,Mayo,41,yes,69,H1 2026
Financial services,Louth,29,no,82,H2 2025
Financial services,Limerick,41,no,188,H1 2026
Health,Mayo,14,yes,58,H2 2025
Professional services,Cork,41,yes,302,H2 2025
Professional services,Galway,30,no,195,H1 2026
Public sector,Galway,51,yes,75,H2 2025
Professional services,Louth,-7,yes,348,H1 2026
Professional services,Galway,48,yes,-25,H1 2026
Retail and ecommerce,Limerick,34,no,125,H2 2025
Retail and ecommerce,Galway,56,yes,175,H1 2026
Professional services,Kildare,33,yes,95,H1 2026
Financial services,Cork,34,no,133,H1 2026
Tourism and hospitality,Mayo,22,no,334,H2 2025
Public sector,Louth,38,yes,104,H1 2026
Financial services,Galway,-2,no,342,H1 2026
Professional services,Meath,41,no,43,H1 2026
Health,Galway,29,yes,132,H1 2026
Professional services,Galway,40,no,68,H1 2026
Professional services,Limerick,29,no,127,H2 2025
Professional services,Louth,40,yes,293,H1 2026
Public sector,Kildare,12,yes,209,H2 2025
Professional services,Kildare,46,yes,0,H2 2025
Property,Kildare,15,no,294,H2 2025
Professional services,Mayo,60,no,86,H1 2026
Financial services,Galway,20,yes,60,H2 2025
Public sector,Louth,37,yes,103,H2 2025
Health,Kildare,17,yes,77,H1 2026
Professional services,Louth,52,no,239,H1 2026
Tourism and hospitality,Louth,28,yes,150,H2 2025
Professional services,Louth,45,yes,-3,H2 2025
Professional services,Limerick,0,no,307,H2 2025
Retail and ecommerce,Limerick,59,yes,-1,H1 2026
Tourism and hospitality,Louth,41,no,203,H1 2026
Property,Cork,61,no,197,H1 2026
Tourism and hospitality,Mayo,15,no,249,H2 2025
Tourism and hospitality,Louth,44,no,220,H2 2025
Retail and ecommerce,Limerick,18,no,158,H2 2025
Professional services,Meath,47,yes,43,H2 2025
Public sector,Mayo,-6,no,276,H1 2026
Health,Meath,59,no,-14,H2 2025
Financial services,Meath,29,no,179,H2 2025
Tourism and hospitality,Meath,60,yes,205,H1 2026
Property,Cork,14,yes,179,H2 2025
Health,Louth,33,yes,323,H1 2026
Property,Louth,28,no,301,H2 2025
Health,Galway,42,yes,18,H2 2025
Financial services,Mayo,11,yes,305,H2 2025
Health,Limerick,49,no,8,H2 2025
Professional services,Kildare,28,no,128,H1 2026
Professional services,Louth,46,no,202,H1 2026
Health,Louth,35,yes,222,H1 2026
Professional services,Galway,33,no,288,H2 2025
Health,Cork,14,no,196,H1 2026
Health,Limerick,37,no,-43,H2 2025
Public sector,Kildare,-3,yes,461,H2 2025
Professional services,Meath,57,no,73,H1 2026
Health,Mayo,28,yes,59,H2 2025
Property,Louth,35,no,150,H2 2025
Professional services,Meath,21,yes,80,H2 2025
Retail and ecommerce,Meath,43,yes,315,H2 2025
Public sector,Meath,8,no,196,H1 2026
Public sector,Galway,58,no,68,H1 2026
Tourism and hospitality,Meath,14,yes,330,H2 2025
Public sector,Mayo,59,no,102,H1 2026
Professional services,Louth,31,no,96,H2 2025
Tourism and hospitality,Louth,55,yes,134,H1 2026
Financial services,Louth,20,no,189,H2 2025
Public sector,Louth,38,yes,207,H2 2025
Professional services,Louth,8,yes,269,H2 2025
Tourism and hospitality,Cork,54,no,46,H2 2025
Professional services,Louth,6,no,342,H2 2025
Professional services,Mayo,46,no,132,H2 2025
Professional services,Limerick,31,yes,202,H1 2026
Public sector,Mayo,53,yes,80,H1 2026
Health,Louth,33,yes,90,H1 2026
Retail and ecommerce,Cork,48,no,215,H2 2025
Property,Mayo,30,yes,228,H2 2025
Public sector,Limerick,46,no,96,H1 2026
Professional services,Cork,1,no,456,H2 2025
Public sector,Cork,40,yes,-26,H2 2025
Professional services,Meath,30,yes,70,H2 2025
Professional services,Cork,54,yes,64,H2 2025
Public sector,Limerick,22,no,226,H1 2026
Professional services,Kildare,40,yes,190,H1 2026
Professional services,Kildare,22,no,346,H2 2025
Financial services,Cork,47,yes,128,H2 2025
Professional services,Louth,-6,yes,425,H1 2026
Health,Mayo,54,yes,92,H1 2026
Retail and ecommerce,Cork,26,yes,170,H1 2026
Property,Louth,36,no,149,H2 2025
Professional services,Louth,13,no,76,H2 2025
Professional services,Louth,40,no,247,H1 2026
Retail and ecommerce,Mayo,10,yes,305,H1 2026
Professional services,Galway,56,yes,88,H2 2025
Property,Galway,15,yes,406,H2 2025
Public sector,Meath,44,no,139,H2 2025
Public sector,Kildare,27,yes,101,H1 2026
Property,Mayo,46,no,110,H1 2026
Financial services,Cork,16,no,243,H1 2026
Property,Limerick,35,no,296,H2 2025
Retail and ecommerce,Mayo,12,no,276,H2 2025
Health,Louth,50,yes,115,H1 2026
Property,Louth,-5,no,302,H1 2026
Tourism and hospitality,Limerick,60,no,-3,H2 2025
Professional services,Louth,37,no,88,H1 2026
Property,Louth,48,yes,168,H1 2026
Professional services,Galway,26,no,99,H2 2025
Professional services,Kildare,51,no,161,H2 2025
Tourism and hospitality,Louth,25,no,264,H2 2025
Tourism and hospitality,Louth,42,yes,18,H2 2025
Retail and ecommerce,Louth,14,yes,353,H2 2025
Property,Louth,49,no,15,H2 2025
Professional services,Cork,32,yes,142,H2 2025
Tourism and hospitality,Louth,43,no,179,H2 2025
Professional services,Louth,29,yes,172,H1 2026
Professional services,Kildare,36,no,190,H1 2026
Professional services,Mayo,31,yes,311,H1 2026
Tourism and hospitality,Louth,48,no,41,H2 2025
Professional services,Limerick,3,yes,428,H1 2026
Property,Cork,57,yes,129,H1 2026
Public sector,Meath,43,yes,116,H2 2025
Financial services,Limerick,39,yes,183,H2 2025
Health,Cork,10,no,227,H1 2026
Property,Kildare,40,no,158,H1 2026
Financial services,Galway,26,no,222,H1 2026
Health,Louth,35,no,48,H1 2026
Professional services,Cork,12,no,420,H1 2026
Financial services,Louth,58,no,130,H1 2026
Tourism and hospitality,Louth,28,yes,186,H1 2026
Professional services,Meath,52,no,102,H2 2025
