week,platform,audience,cpm
2026-06-14,Google,Lookalike,43
2026-07-31,Meta,Lookalike,6
2026-09-11,Meta,Lookalike,32
2026-09-03,Meta,Lookalike,3
2026-07-28,Google,Broad,8
2026-09-12,Meta,Broad,-2
2026-09-16,Google,Broad,22
2026-08-04,Google,Broad,3
2026-08-22,Meta,B2B,33
2026-06-19,Google,Lookalike,20
2026-08-30,Google,Broad,40
2026-07-24,Meta,Lookalike,21
2026-09-03,Meta,Lookalike,-1
2026-06-08,Google,Lookalike,14
2026-09-08,Google,Broad,18
2026-07-20,Google,Lookalike,5
2026-09-01,Meta,Broad,42
2026-08-09,Meta,Lookalike,8
2026-08-30,Meta,Lookalike,22
2026-05-28,Meta,B2B,12
2026-07-16,Meta,Lookalike,10
2026-07-26,Meta,B2B,-4
2026-09-06,Meta,B2B,21
2026-08-18,Meta,Broad,6
2026-06-18,Meta,Lookalike,29
2026-08-17,Meta,Broad,25
2026-08-26,Meta,Broad,32
2026-06-03,Meta,Lookalike,19
2026-08-18,Meta,Lookalike,12
2026-06-18,Meta,Lookalike,4
2026-09-18,Meta,Lookalike,13
2026-06-06,Meta,Lookalike,16
2026-06-01,Google,Lookalike,47
2026-06-02,Meta,Broad,14
2026-06-05,Google,Lookalike,42
2026-06-07,Meta,B2B,14
2026-07-25,Google,Lookalike,5
2026-07-09,Meta,Lookalike,-3
2026-06-05,Meta,Lookalike,10
2026-08-04,Meta,Lookalike,4
2026-08-27,Meta,Lookalike,42
2026-09-06,Google,Lookalike,9
2026-08-05,Meta,Lookalike,35
2026-07-30,Meta,Lookalike,6
2026-07-13,Google,Lookalike,9
2026-07-16,Meta,Lookalike,8
2026-06-03,Meta,Broad,17
2026-08-19,Meta,Lookalike,11
2026-07-04,Meta,Broad,49
2026-06-19,Google,Broad,7
2026-07-31,Meta,Lookalike,22
2026-08-26,Meta,Lookalike,2
2026-08-21,Google,B2B,2
2026-06-22,Google,Broad,15
2026-07-10,Google,Lookalike,24
2026-07-27,Google,Broad,13
2026-08-10,Meta,Broad,46
2026-06-18,Google,Broad,5
2026-05-29,Google,Broad,22
2026-06-09,Meta,Broad,10
2026-06-06,Meta,Lookalike,7
2026-09-18,Google,Broad,2
2026-05-29,Meta,Broad,16
2026-07-01,Meta,Lookalike,3
2026-08-04,Meta,Broad,35
2026-06-19,Google,Lookalike,11
2026-07-20,Google,Broad,39
2026-09-19,Meta,Lookalike,11
2026-05-30,Meta,Broad,2
2026-05-30,Meta,Broad,3
2026-05-29,Google,B2B,16
2026-08-05,Meta,Lookalike,9
2026-07-03,Meta,Broad,46
2026-06-14,Meta,Lookalike,25
2026-09-08,Meta,Lookalike,26
2026-06-12,Google,Lookalike,1
2026-08-28,Meta,B2B,2
2026-06-28,Google,Broad,-4
2026-09-15,Meta,Broad,15
2026-08-09,Meta,Lookalike,10
2026-07-07,Meta,Broad,41
2026-08-29,Meta,Lookalike,7
2026-08-24,Meta,B2B,25
2026-08-20,Meta,Lookalike,13
2026-07-25,Meta,Lookalike,6
2026-07-28,Google,Broad,-4
2026-07-18,Google,Lookalike,17
2026-06-30,Google,Lookalike,3
2026-06-17,Google,Lookalike,29
2026-09-18,Google,Lookalike,17
2026-06-26,Meta,B2B,29
2026-08-04,Meta,Lookalike,19
2026-05-31,Meta,Lookalike,17
2026-07-14,Meta,Lookalike,11
2026-06-18,Google,Broad,24
2026-06-23,Google,Broad,16
2026-06-28,Meta,Lookalike,31
2026-06-19,Meta,Lookalike,10
2026-09-09,Meta,Lookalike,35
2026-06-11,Meta,B2B,15
2026-06-22,Google,Broad,4
2026-05-26,Meta,Lookalike,12
2026-09-03,Meta,Broad,11
2026-08-09,Meta,Lookalike,-1
2026-09-19,Google,Broad,39
2026-09-12,Google,Lookalike,8
2026-08-20,Meta,Lookalike,39
2026-06-10,Meta,Broad,15
2026-07-17,Meta,Broad,0
2026-06-28,Google,Broad,9
2026-09-16,Google,Lookalike,9
2026-06-25,Meta,Lookalike,-1
