sector,county,tools,crm,ai_tool,read
Tax and accounting,Tipperary,14,no,no,2026-06-11
Food and drink,Clare,22,no,yes,2026-05-29
Tax and accounting,Tipperary,-2,yes,no,2026-06-27
Energy,Donegal,29,yes,yes,2026-08-22
Tax and accounting,Galway,31,no,yes,2026-07-20
Tourism and hospitality,Donegal,2,yes,no,2026-08-05
Motor,Tipperary,12,yes,yes,2026-08-15
Tax and accounting,Tipperary,15,yes,no,2026-06-24
Tax and accounting,Mayo,23,no,no,2026-08-25
Tourism and hospitality,Mayo,21,no,no,2026-07-29
Tax and accounting,Wexford,8,no,yes,2026-06-02
Food and drink,Galway,25,yes,no,2026-07-18
Food and drink,Tipperary,31,no,yes,2026-07-01
Motor,Donegal,2,no,no,2026-06-28
Energy,Tipperary,13,no,yes,2026-09-04
Tax and accounting,Kildare,25,yes,yes,2026-06-26
Tourism and hospitality,Kildare,16,yes,yes,2026-06-03
Tax and accounting,Clare,24,yes,no,2026-06-10
Motor,Tipperary,5,no,no,2026-06-07
Energy,Galway,24,no,no,2026-08-02
Motor,Donegal,20,yes,no,2026-08-19
Tax and accounting,Tipperary,-2,yes,yes,2026-08-04
Tourism and hospitality,Wexford,13,no,yes,2026-05-24
Tourism and hospitality,Kildare,17,no,no,2026-09-11
Food and drink,Tipperary,13,no,yes,2026-06-23
Tax and accounting,Galway,24,yes,yes,2026-06-04
Tax and accounting,Galway,7,no,no,2026-06-30
Tax and accounting,Kildare,28,yes,no,2026-07-05
Tourism and hospitality,Kildare,23,yes,no,2026-07-03
Tourism and hospitality,Clare,-3,no,yes,2026-07-05
Motor,Tipperary,14,yes,yes,2026-09-09
Tax and accounting,Mayo,21,no,yes,2026-09-05
Energy,Kildare,23,yes,yes,2026-09-05
Tourism and hospitality,Wexford,16,no,no,2026-09-20
Motor,Clare,8,no,no,2026-06-20
Tourism and hospitality,Galway,29,no,yes,2026-06-10
Tourism and hospitality,Tipperary,32,yes,no,2026-08-27
Tax and accounting,Wexford,-1,no,no,2026-07-10
Tourism and hospitality,Clare,16,no,yes,2026-09-06
Food and drink,Galway,23,yes,yes,2026-05-31
Tourism and hospitality,Mayo,25,yes,no,2026-08-13
Tax and accounting,Mayo,21,no,no,2026-06-16
Motor,Kildare,9,yes,yes,2026-06-05
Tourism and hospitality,Tipperary,23,no,no,2026-06-06
Motor,Galway,34,yes,no,2026-09-08
Tax and accounting,Kildare,10,no,yes,2026-06-22
Food and drink,Kildare,11,no,yes,2026-05-24
Tax and accounting,Clare,23,no,no,2026-06-16
Tourism and hospitality,Kildare,23,no,yes,2026-08-16
Food and drink,Clare,26,yes,no,2026-07-23
Tax and accounting,Mayo,2,no,yes,2026-06-12
Energy,Clare,33,no,no,2026-07-28
Motor,Wexford,21,yes,yes,2026-08-25
Tourism and hospitality,Mayo,0,yes,yes,2026-06-10
Tax and accounting,Donegal,21,no,yes,2026-07-30
Energy,Galway,15,yes,no,2026-09-13
Tourism and hospitality,Tipperary,26,no,yes,2026-09-17
Food and drink,Mayo,17,yes,yes,2026-06-07
Food and drink,Wexford,12,no,no,2026-07-25
Food and drink,Galway,31,no,no,2026-08-06
Motor,Tipperary,22,yes,yes,2026-07-16
Energy,Wexford,5,no,yes,2026-07-22
Food and drink,Galway,14,no,no,2026-09-10
Motor,Tipperary,22,yes,yes,2026-06-11
Energy,Clare,22,no,yes,2026-08-03
Tax and accounting,Tipperary,22,no,yes,2026-09-20
Tourism and hospitality,Clare,10,yes,no,2026-06-25
Tourism and hospitality,Tipperary,23,no,yes,2026-06-08
Tax and accounting,Wexford,24,no,yes,2026-07-29
Energy,Tipperary,-1,yes,yes,2026-08-07
Tourism and hospitality,Mayo,21,no,no,2026-06-12
Food and drink,Galway,29,yes,no,2026-06-22
Tourism and hospitality,Kildare,14,yes,yes,2026-08-07
Food and drink,Galway,20,yes,no,2026-08-11
Tourism and hospitality,Kildare,9,no,yes,2026-08-22
Food and drink,Mayo,24,no,yes,2026-08-24
Motor,Mayo,30,no,yes,2026-06-17
Tourism and hospitality,Kildare,4,yes,yes,2026-07-17
Tax and accounting,Wexford,7,no,no,2026-07-18
Tax and accounting,Clare,22,no,yes,2026-09-12
Food and drink,Wexford,15,no,no,2026-09-02
Food and drink,Mayo,15,yes,no,2026-06-20
Tax and accounting,Donegal,4,yes,no,2026-06-24
Tourism and hospitality,Donegal,22,yes,no,2026-06-11
Tourism and hospitality,Tipperary,34,no,no,2026-07-29
Tax and accounting,Wexford,1,yes,yes,2026-05-30
Motor,Mayo,12,no,no,2026-09-13
Tax and accounting,Galway,26,no,no,2026-06-08
Food and drink,Mayo,17,no,no,2026-06-25
Motor,Galway,22,yes,yes,2026-06-29
Food and drink,Clare,4,yes,yes,2026-06-28
Energy,Donegal,29,yes,no,2026-06-15
Food and drink,Wexford,26,no,no,2026-07-20
Tax and accounting,Clare,2,yes,no,2026-09-18
Tourism and hospitality,Wexford,21,yes,no,2026-08-30
Food and drink,Donegal,26,yes,no,2026-06-02
Motor,Galway,14,no,yes,2026-08-28
Food and drink,Galway,23,yes,yes,2026-09-13
Tourism and hospitality,Mayo,0,no,yes,2026-06-22
Tax and accounting,Mayo,35,yes,no,2026-07-16
Tourism and hospitality,Galway,22,no,no,2026-09-19
Tax and accounting,Donegal,3,yes,yes,2026-06-03
Tax and accounting,Galway,13,no,no,2026-08-12
Tax and accounting,Wexford,21,yes,yes,2026-07-24
Tourism and hospitality,Wexford,13,yes,yes,2026-09-01
Tax and accounting,Wexford,26,yes,yes,2026-08-10
Motor,Donegal,0,no,no,2026-05-29
Tourism and hospitality,Donegal,34,no,no,2026-07-21
Tourism and hospitality,Clare,34,yes,no,2026-09-13
Food and drink,Kildare,-2,yes,no,2026-07-21
Food and drink,Galway,20,no,yes,2026-06-21
Tax and accounting,Mayo,20,no,yes,2026-09-08
Energy,Kildare,21,no,no,2026-08-20
Tourism and hospitality,Tipperary,14,yes,no,2026-08-01
Tax and accounting,Mayo,-2,no,no,2026-06-22
Tax and accounting,Kildare,25,yes,no,2026-06-03
Motor,Tipperary,22,yes,no,2026-08-12
Food and drink,Donegal,10,no,yes,2026-09-19
Food and drink,Wexford,20,yes,yes,2026-08-21
Food and drink,Galway,19,yes,no,2026-09-15
Tax and accounting,Donegal,13,no,no,2026-07-18
Tax and accounting,Galway,22,no,yes,2026-06-04
Tourism and hospitality,Galway,1,no,no,2026-07-18
Tax and accounting,Mayo,29,no,no,2026-07-06
Food and drink,Clare,32,no,yes,2026-08-12
Food and drink,Wexford,1,no,yes,2026-07-18
Tax and accounting,Galway,17,no,yes,2026-06-01
Tourism and hospitality,Galway,28,yes,yes,2026-08-21
Tax and accounting,Clare,26,no,yes,2026-09-07
Tax and accounting,Kildare,21,yes,no,2026-07-28
Tax and accounting,Mayo,12,yes,yes,2026-08-10
Food and drink,Wexford,25,no,no,2026-08-08
Motor,Wexford,28,no,yes,2026-08-04
Energy,Galway,10,yes,no,2026-09-04
Food and drink,Clare,7,yes,yes,2026-07-31
Food and drink,Galway,21,yes,yes,2026-07-06
Energy,Clare,25,no,no,2026-05-26
Motor,Wexford,22,no,yes,2026-08-19
Tax and accounting,Wexford,2,no,yes,2026-07-16
Food and drink,Kildare,25,no,yes,2026-07-21
Food and drink,Galway,26,yes,no,2026-07-27
Food and drink,Tipperary,8,yes,no,2026-07-22
Tax and accounting,Galway,17,yes,no,2026-06-08
Tax and accounting,Kildare,18,yes,no,2026-06-13
Food and drink,Kildare,14,yes,no,2026-08-10
Tax and accounting,Kildare,18,no,no,2026-07-28
Tax and accounting,Clare,2,no,no,2026-09-09
Energy,Galway,29,no,yes,2026-08-29
Tourism and hospitality,Tipperary,31,yes,no,2026-08-22
Tourism and hospitality,Tipperary,6,yes,no,2026-07-27
Energy,Donegal,17,yes,no,2026-07-09
Tax and accounting,Clare,27,yes,no,2026-08-03
Food and drink,Clare,16,yes,yes,2026-07-27
Tourism and hospitality,Clare,17,no,yes,2026-08-05
Food and drink,Tipperary,11,yes,yes,2026-07-24
Food and drink,Tipperary,21,no,yes,2026-06-03
Food and drink,Galway,22,no,no,2026-06-01
Tourism and hospitality,Wexford,10,no,no,2026-07-02
Energy,Clare,8,yes,no,2026-09-06
Tourism and hospitality,Kildare,18,yes,no,2026-08-30
Tourism and hospitality,Galway,21,yes,yes,2026-07-18
Tax and accounting,Mayo,18,yes,no,2026-05-28
Food and drink,Mayo,6,no,yes,2026-07-12
Food and drink,Clare,25,no,yes,2026-07-15
Tourism and hospitality,Clare,28,no,no,2026-06-23
Motor,Donegal,-3,yes,yes,2026-07-04
Tax and accounting,Galway,12,no,no,2026-07-14
Tourism and hospitality,Wexford,22,yes,yes,2026-08-25
Tourism and hospitality,Galway,18,no,yes,2026-06-07
Tourism and hospitality,Clare,16,yes,yes,2026-08-26
Motor,Wexford,4,no,no,2026-07-11
Food and drink,Wexford,34,no,no,2026-08-01
Food and drink,Mayo,22,no,yes,2026-08-16
Food and drink,Clare,8,yes,no,2026-07-28
Tourism and hospitality,Galway,19,no,no,2026-07-29
Tax and accounting,Galway,19,yes,no,2026-06-29
Motor,Wexford,16,no,no,2026-07-10
Tax and accounting,Donegal,23,no,no,2026-08-30
Tax and accounting,Wexford,2,no,yes,2026-07-13
Tax and accounting,Wexford,34,yes,yes,2026-07-20
Tourism and hospitality,Clare,23,yes,no,2026-09-08
Food and drink,Kildare,10,yes,yes,2026-07-30
Tourism and hospitality,Wexford,8,no,yes,2026-06-27
Tourism and hospitality,Donegal,27,no,yes,2026-06-17
Tax and accounting,Mayo,23,no,no,2026-06-14
Tourism and hospitality,Galway,24,no,no,2026-06-17
Tax and accounting,Galway,6,yes,yes,2026-09-10
Tax and accounting,Galway,28,no,no,2026-06-22
Tax and accounting,Galway,21,yes,yes,2026-05-29
Motor,Tipperary,0,no,no,2026-09-03
Motor,Wexford,19,no,yes,2026-08-12
Motor,Galway,29,no,yes,2026-07-30
Food and drink,Clare,24,yes,no,2026-06-08
Food and drink,Kildare,21,no,yes,2026-07-18
Food and drink,Galway,9,yes,no,2026-07-26
Tourism and hospitality,Mayo,25,yes,no,2026-09-17
Food and drink,Galway,30,yes,no,2026-08-26
Tax and accounting,Kildare,5,yes,no,2026-09-11
Energy,Galway,19,yes,no,2026-07-17
Motor,Mayo,24,no,yes,2026-08-11
Tourism and hospitality,Clare,27,no,no,2026-09-07
Tourism and hospitality,Mayo,25,yes,yes,2026-08-21
Food and drink,Galway,-2,no,no,2026-07-19
Tourism and hospitality,Tipperary,29,no,yes,2026-07-16
Food and drink,Tipperary,34,yes,yes,2026-08-05
Tax and accounting,Kildare,1,no,yes,2026-08-05
Energy,Tipperary,9,yes,no,2026-08-04
Energy,Galway,29,no,no,2026-06-16
Tourism and hospitality,Mayo,19,yes,no,2026-07-15
Tax and accounting,Mayo,24,yes,no,2026-08-01
Energy,Galway,11,no,yes,2026-06-17
Motor,Mayo,34,no,yes,2026-07-02
Tourism and hospitality,Donegal,23,no,no,2026-07-06
Tourism and hospitality,Galway,6,no,yes,2026-07-20
Energy,Mayo,17,yes,no,2026-08-26
Energy,Kildare,18,yes,no,2026-06-30
Motor,Tipperary,27,no,yes,2026-05-25
Tourism and hospitality,Clare,28,no,no,2026-09-02
Food and drink,Galway,11,yes,yes,2026-07-28
Tourism and hospitality,Kildare,21,yes,yes,2026-08-04
Tax and accounting,Kildare,30,no,no,2026-09-20
Tax and accounting,Kildare,5,yes,no,2026-08-08
Tourism and hospitality,Galway,18,yes,no,2026-08-18
Tax and accounting,Kildare,15,no,yes,2026-08-04
Food and drink,Wexford,27,yes,yes,2026-08-10
Tourism and hospitality,Mayo,27,yes,yes,2026-08-25
Tax and accounting,Tipperary,11,yes,no,2026-06-02
Energy,Wexford,26,yes,yes,2026-06-06
Motor,Clare,20,no,no,2026-08-13
Tourism and hospitality,Mayo,-1,yes,no,2026-07-19
Tourism and hospitality,Galway,14,no,no,2026-07-06
Tax and accounting,Wexford,22,yes,yes,2026-06-15
Tourism and hospitality,Wexford,22,yes,no,2026-07-17
Tourism and hospitality,Mayo,22,yes,yes,2026-07-07
Tax and accounting,Wexford,4,no,yes,2026-08-10
Tourism and hospitality,Mayo,31,no,no,2026-08-27
Tourism and hospitality,Donegal,34,no,no,2026-06-08
Food and drink,Mayo,7,yes,yes,2026-06-08
Tourism and hospitality,Kildare,20,no,yes,2026-06-07
Tax and accounting,Mayo,25,yes,yes,2026-09-07
Energy,Mayo,16,no,no,2026-06-30
Tax and accounting,Galway,15,yes,no,2026-07-09
Food and drink,Mayo,7,no,no,2026-06-01
Food and drink,Wexford,23,no,yes,2026-07-05
Tax and accounting,Clare,23,yes,yes,2026-08-04
Food and drink,Tipperary,4,yes,yes,2026-06-19
Food and drink,Galway,18,yes,no,2026-07-13
Food and drink,Clare,24,yes,yes,2026-07-29
Tax and accounting,Mayo,15,no,no,2026-07-10
Food and drink,Galway,18,yes,no,2026-08-06
Food and drink,Donegal,0,yes,no,2026-07-08
Tourism and hospitality,Wexford,34,no,no,2026-06-11
Tax and accounting,Mayo,22,no,no,2026-08-30
Tax and accounting,Kildare,7,no,no,2026-05-30
Motor,Kildare,18,no,yes,2026-09-13
Motor,Wexford,28,no,no,2026-07-14
Energy,Clare,22,yes,no,2026-06-23
Food and drink,Clare,23,no,yes,2026-07-13
Food and drink,Mayo,0,yes,yes,2026-07-19
Energy,Mayo,26,yes,yes,2026-07-13
Tourism and hospitality,Donegal,25,yes,no,2026-08-21
Energy,Wexford,10,no,no,2026-06-28
Food and drink,Clare,19,no,yes,2026-06-23
Food and drink,Galway,28,no,no,2026-08-20
Food and drink,Kildare,27,yes,no,2026-08-08
Tourism and hospitality,Clare,16,no,no,2026-08-25
Food and drink,Galway,7,no,no,2026-09-20
Tourism and hospitality,Kildare,22,no,no,2026-08-23
Tax and accounting,Donegal,28,yes,yes,2026-09-07
Tourism and hospitality,Mayo,6,no,yes,2026-07-06
Tourism and hospitality,Kildare,19,no,no,2026-06-02
Energy,Wexford,23,yes,yes,2026-08-26
Tax and accounting,Mayo,13,yes,yes,2026-08-05
Tourism and hospitality,Kildare,20,yes,no,2026-06-18
Motor,Galway,5,no,no,2026-07-22
Tourism and hospitality,Wexford,32,no,yes,2026-06-28
Motor,Clare,34,yes,yes,2026-05-28
Tax and accounting,Donegal,-4,no,no,2026-07-23
Food and drink,Tipperary,10,no,yes,2026-08-16
Tax and accounting,Kildare,25,no,no,2026-06-14
Food and drink,Tipperary,22,yes,yes,2026-09-14
Tourism and hospitality,Clare,17,yes,yes,2026-08-06
Food and drink,Tipperary,0,no,no,2026-06-18
Tourism and hospitality,Tipperary,26,no,no,2026-06-07
Energy,Clare,30,no,no,2026-07-30
Tax and accounting,Kildare,-4,yes,no,2026-07-11
Food and drink,Galway,14,yes,no,2026-07-07
Tax and accounting,Galway,26,yes,yes,2026-08-28
Tax and accounting,Mayo,21,yes,no,2026-09-19
Tax and accounting,Wexford,26,no,yes,2026-09-08
Food and drink,Mayo,-1,no,no,2026-08-03
Tourism and hospitality,Wexford,24,no,no,2026-07-23
Food and drink,Kildare,24,yes,yes,2026-09-01
Food and drink,Galway,4,yes,yes,2026-08-03
Tourism and hospitality,Clare,9,no,yes,2026-05-24
Motor,Tipperary,23,no,yes,2026-08-01
Tourism and hospitality,Galway,18,no,no,2026-06-13
Food and drink,Tipperary,17,no,yes,2026-09-17
Motor,Donegal,5,yes,yes,2026-07-17
Motor,Kildare,21,no,no,2026-08-16
Tourism and hospitality,Galway,30,yes,yes,2026-08-27
Tourism and hospitality,Kildare,10,no,no,2026-07-20
Motor,Clare,17,no,no,2026-07-02
Food and drink,Donegal,20,yes,yes,2026-05-29
Tourism and hospitality,Donegal,15,yes,no,2026-06-26
Food and drink,Tipperary,15,no,no,2026-07-20
Energy,Mayo,0,no,no,2026-08-17
Food and drink,Galway,25,yes,yes,2026-09-18
Tax and accounting,Galway,23,yes,no,2026-07-11
Tourism and hospitality,Galway,3,yes,yes,2026-06-19
Food and drink,Galway,14,no,yes,2026-07-09
Tourism and hospitality,Kildare,28,no,no,2026-09-10
Energy,Galway,20,yes,yes,2026-09-05
Tourism and hospitality,Galway,25,yes,yes,2026-05-26
Tax and accounting,Wexford,4,no,no,2026-05-28
Tourism and hospitality,Galway,27,yes,yes,2026-07-06
Food and drink,Donegal,20,yes,yes,2026-08-12
Tourism and hospitality,Clare,6,yes,yes,2026-07-29
Tourism and hospitality,Galway,9,no,yes,2026-07-22
Energy,Donegal,27,yes,yes,2026-07-07
Tourism and hospitality,Mayo,16,yes,no,2026-08-20
Energy,Galway,18,yes,no,2026-08-22
Motor,Kildare,4,yes,no,2026-07-14
Tourism and hospitality,Clare,34,no,no,2026-08-14
Tourism and hospitality,Wexford,31,yes,yes,2026-07-16
Motor,Galway,-3,no,no,2026-08-30
Tourism and hospitality,Wexford,14,yes,no,2026-07-15
Motor,Clare,18,yes,yes,2026-07-12
Energy,Kildare,18,yes,yes,2026-07-16
Energy,Galway,27,no,no,2026-08-31
Food and drink,Wexford,-2,no,no,2026-06-11
Motor,Mayo,32,no,yes,2026-07-30
Tax and accounting,Wexford,20,no,yes,2026-08-20
Tourism and hospitality,Clare,-2,no,no,2026-06-25
Food and drink,Mayo,11,no,no,2026-06-10
Energy,Wexford,27,no,no,2026-05-25
Food and drink,Galway,23,yes,yes,2026-05-30
Motor,Galway,21,yes,no,2026-07-20
Tax and accounting,Donegal,7,no,no,2026-06-07
Motor,Galway,22,no,no,2026-08-12
Tax and accounting,Mayo,24,yes,yes,2026-06-27
Motor,Kildare,4,no,no,2026-06-13
Tax and accounting,Wexford,13,yes,yes,2026-07-23
Tax and accounting,Kildare,21,no,no,2026-07-17
Tax and accounting,Galway,24,yes,no,2026-07-25
Tax and accounting,Wexford,17,yes,no,2026-09-14
Motor,Tipperary,0,no,yes,2026-06-06
Tourism and hospitality,Tipperary,32,yes,no,2026-06-21
Tourism and hospitality,Galway,25,no,no,2026-06-23
Food and drink,Galway,-3,no,yes,2026-06-10
Motor,Galway,13,no,yes,2026-07-12
Tax and accounting,Kildare,22,yes,no,2026-06-21
Tax and accounting,Galway,18,no,yes,2026-06-08
Tax and accounting,Kildare,16,no,yes,2026-06-02
Tourism and hospitality,Donegal,-2,yes,yes,2026-08-26
Food and drink,Clare,34,no,yes,2026-07-21
Tax and accounting,Galway,21,yes,yes,2026-06-02
Tax and accounting,Kildare,5,yes,no,2026-05-26
Tourism and hospitality,Galway,9,yes,no,2026-08-19
Tax and accounting,Galway,25,no,no,2026-05-27
Tourism and hospitality,Tipperary,13,no,yes,2026-07-09
Tax and accounting,Donegal,23,no,yes,2026-09-16
Motor,Wexford,6,yes,yes,2026-07-26
Tax and accounting,Donegal,23,no,no,2026-07-30
Food and drink,Galway,31,yes,no,2026-07-31
Motor,Clare,-2,no,no,2026-08-14
Motor,Donegal,13,yes,no,2026-07-08
Tourism and hospitality,Clare,22,yes,yes,2026-06-22
Tax and accounting,Wexford,26,yes,yes,2026-05-31
Tourism and hospitality,Mayo,25,no,yes,2026-06-24
Tourism and hospitality,Clare,10,yes,no,2026-07-07
Tourism and hospitality,Mayo,34,no,yes,2026-09-03
Food and drink,Kildare,30,yes,no,2026-06-12
Tax and accounting,Mayo,4,yes,yes,2026-09-11
Tourism and hospitality,Wexford,8,no,no,2026-07-04
Food and drink,Wexford,15,yes,yes,2026-06-09
Food and drink,Mayo,17,yes,no,2026-08-23
Food and drink,Kildare,26,yes,no,2026-08-15
Tourism and hospitality,Clare,6,yes,no,2026-06-06
Food and drink,Clare,34,no,no,2026-08-08
Motor,Tipperary,34,no,yes,2026-07-04
Motor,Mayo,1,yes,yes,2026-08-30
Tourism and hospitality,Galway,20,yes,yes,2026-06-29
Tourism and hospitality,Wexford,29,yes,yes,2026-07-21
Tax and accounting,Mayo,16,no,yes,2026-09-17
Tourism and hospitality,Kildare,21,yes,yes,2026-05-30
Tourism and hospitality,Donegal,0,yes,yes,2026-07-15
Tourism and hospitality,Wexford,35,no,no,2026-07-26
Tourism and hospitality,Galway,30,no,no,2026-07-22
Tax and accounting,Galway,-3,no,no,2026-08-07
Tax and accounting,Kildare,20,yes,yes,2026-06-28
Food and drink,Galway,15,no,no,2026-09-05
Food and drink,Galway,19,yes,yes,2026-07-10
Tourism and hospitality,Tipperary,23,yes,yes,2026-08-12
Tourism and hospitality,Tipperary,-1,no,no,2026-08-11
Tourism and hospitality,Galway,22,yes,no,2026-07-25
Food and drink,Kildare,28,no,yes,2026-07-03
Energy,Kildare,6,yes,yes,2026-06-30
Tourism and hospitality,Galway,14,yes,no,2026-06-01
Food and drink,Galway,19,yes,no,2026-07-12
Tourism and hospitality,Tipperary,17,no,yes,2026-09-12
Tourism and hospitality,Galway,14,no,no,2026-07-23
Tax and accounting,Kildare,10,yes,no,2026-09-16
Food and drink,Galway,25,no,no,2026-08-20
Energy,Galway,27,no,no,2026-05-25
Tourism and hospitality,Tipperary,-2,no,no,2026-07-30
Food and drink,Tipperary,20,no,yes,2026-09-03
Food and drink,Galway,25,yes,yes,2026-07-08
Food and drink,Donegal,15,no,yes,2026-06-28
Motor,Donegal,19,yes,no,2026-08-27
Energy,Galway,5,yes,yes,2026-08-20
Tax and accounting,Clare,26,no,no,2026-06-02
Food and drink,Clare,30,yes,no,2026-06-08
Energy,Mayo,5,no,no,2026-09-14
Food and drink,Clare,12,no,yes,2026-06-06
Tourism and hospitality,Wexford,17,yes,no,2026-08-08
Food and drink,Kildare,19,no,no,2026-06-14
Tax and accounting,Donegal,23,no,yes,2026-08-02
Energy,Clare,10,no,yes,2026-07-12
Food and drink,Kildare,34,yes,yes,2026-07-11
Tax and accounting,Tipperary,31,no,yes,2026-07-02
Tax and accounting,Tipperary,2,no,yes,2026-07-24
Food and drink,Clare,13,yes,yes,2026-06-08
Tourism and hospitality,Wexford,24,yes,no,2026-08-31
Food and drink,Donegal,16,yes,yes,2026-07-06
Motor,Wexford,17,no,yes,2026-06-22
Energy,Donegal,9,yes,no,2026-06-01
Motor,Mayo,23,no,no,2026-06-01
Tax and accounting,Mayo,29,yes,yes,2026-09-19
Food and drink,Galway,-2,no,no,2026-08-29
Tax and accounting,Kildare,15,no,yes,2026-08-29
Food and drink,Tipperary,19,yes,no,2026-05-30
Tourism and hospitality,Tipperary,26,yes,yes,2026-09-10
Food and drink,Tipperary,19,no,yes,2026-07-13
Tax and accounting,Wexford,9,no,no,2026-07-29
Food and drink,Mayo,32,yes,no,2026-06-12
Food and drink,Galway,34,yes,no,2026-07-22
Food and drink,Mayo,7,no,no,2026-07-04
Tax and accounting,Clare,19,yes,yes,2026-08-27
Food and drink,Wexford,22,no,yes,2026-08-13
Food and drink,Kildare,26,yes,no,2026-09-15
Food and drink,Mayo,26,no,yes,2026-06-17
Energy,Tipperary,-2,no,no,2026-05-30
Food and drink,Galway,25,yes,no,2026-08-16
Tourism and hospitality,Kildare,31,no,yes,2026-07-16
Tax and accounting,Tipperary,6,no,yes,2026-07-22
Motor,Wexford,10,no,no,2026-08-06
Tourism and hospitality,Wexford,15,no,no,2026-07-30
Motor,Kildare,13,yes,yes,2026-08-26
Food and drink,Donegal,16,no,no,2026-08-12
Motor,Donegal,4,yes,yes,2026-09-15
Tax and accounting,Wexford,23,no,no,2026-07-07
Tax and accounting,Galway,31,yes,yes,2026-06-25
Tourism and hospitality,Wexford,-1,yes,yes,2026-06-20
Food and drink,Tipperary,17,no,yes,2026-09-04
Energy,Galway,20,no,no,2026-07-02
Tax and accounting,Clare,25,no,yes,2026-06-04
Tourism and hospitality,Galway,20,yes,no,2026-08-08
Tourism and hospitality,Mayo,1,no,no,2026-08-19
Food and drink,Galway,21,no,no,2026-06-26
Food and drink,Galway,30,yes,yes,2026-08-12
Energy,Tipperary,1,no,no,2026-08-06
Food and drink,Galway,20,yes,no,2026-09-14
Food and drink,Wexford,19,yes,yes,2026-08-31
Tourism and hospitality,Wexford,16,yes,no,2026-06-10
Tax and accounting,Mayo,16,yes,no,2026-06-11
Energy,Donegal,-2,no,no,2026-06-05
Tax and accounting,Kildare,35,no,no,2026-06-30
Tax and accounting,Tipperary,34,yes,no,2026-05-26
Food and drink,Wexford,7,no,yes,2026-07-22
Energy,Galway,15,yes,yes,2026-07-11
Tourism and hospitality,Mayo,15,no,no,2026-08-04
Food and drink,Galway,13,yes,yes,2026-06-25
Tourism and hospitality,Tipperary,15,yes,yes,2026-08-28
Food and drink,Tipperary,12,no,yes,2026-07-04
Tax and accounting,Wexford,33,yes,no,2026-08-23
Tourism and hospitality,Galway,20,yes,yes,2026-08-30
Motor,Donegal,6,yes,yes,2026-05-29
Food and drink,Galway,14,yes,no,2026-09-17
Tourism and hospitality,Galway,20,no,no,2026-07-31
Tax and accounting,Galway,26,yes,yes,2026-05-28
Tourism and hospitality,Donegal,24,no,no,2026-09-14
Tax and accounting,Kildare,1,yes,yes,2026-06-22
Food and drink,Clare,22,no,yes,2026-08-09
Tax and accounting,Mayo,29,no,no,2026-07-25
Tourism and hospitality,Donegal,2,no,yes,2026-08-07
Food and drink,Tipperary,16,yes,no,2026-09-16
Tax and accounting,Galway,17,no,no,2026-07-21
Energy,Tipperary,26,no,yes,2026-06-28
Energy,Clare,20,no,no,2026-06-04
Food and drink,Galway,4,yes,no,2026-08-07
Tax and accounting,Clare,25,yes,yes,2026-07-26
Tourism and hospitality,Clare,24,yes,no,2026-06-04
Food and drink,Clare,-2,yes,yes,2026-06-16
Tourism and hospitality,Galway,9,yes,no,2026-08-23
Tax and accounting,Clare,23,yes,yes,2026-08-25
Tourism and hospitality,Donegal,14,no,yes,2026-08-02
Tourism and hospitality,Kildare,25,yes,yes,2026-09-03
Tourism and hospitality,Clare,8,no,no,2026-06-30
Food and drink,Kildare,32,no,yes,2026-07-15
Tax and accounting,Galway,26,yes,no,2026-09-17
Tax and accounting,Kildare,4,no,no,2026-06-19
Food and drink,Kildare,9,no,yes,2026-08-21
Food and drink,Wexford,25,no,yes,2026-07-18
Tourism and hospitality,Galway,22,yes,no,2026-05-30
Motor,Wexford,28,yes,yes,2026-05-24
Energy,Mayo,-2,no,no,2026-07-27
Tourism and hospitality,Wexford,23,no,yes,2026-07-12
Food and drink,Kildare,21,yes,yes,2026-06-16
Food and drink,Mayo,9,no,yes,2026-06-23
Energy,Wexford,21,no,yes,2026-07-19
Motor,Galway,27,yes,no,2026-07-25
Food and drink,Donegal,15,yes,yes,2026-09-19
Food and drink,Wexford,26,no,no,2026-06-12
Tax and accounting,Mayo,-2,yes,yes,2026-07-13
Energy,Clare,30,yes,no,2026-07-12
Motor,Tipperary,20,no,yes,2026-06-15
Tax and accounting,Galway,2,yes,yes,2026-09-16
Tourism and hospitality,Galway,14,no,no,2026-06-06
Tax and accounting,Clare,22,no,yes,2026-08-22
Food and drink,Wexford,24,no,no,2026-08-02
Food and drink,Galway,27,yes,no,2026-09-05
Tourism and hospitality,Clare,12,no,yes,2026-09-17
Tourism and hospitality,Wexford,34,yes,yes,2026-07-06
Tax and accounting,Galway,26,no,yes,2026-06-29
Motor,Kildare,9,yes,no,2026-09-16
Motor,Donegal,21,yes,no,2026-07-18
Tourism and hospitality,Tipperary,19,no,no,2026-05-28
Energy,Tipperary,20,no,no,2026-07-02
Tax and accounting,Wexford,22,yes,yes,2026-08-01
Food and drink,Tipperary,6,no,no,2026-08-12
Motor,Wexford,33,yes,no,2026-07-25
Tax and accounting,Donegal,26,yes,yes,2026-05-27
Tax and accounting,Galway,3,no,no,2026-07-20
Tourism and hospitality,Galway,17,no,no,2026-08-03
Tourism and hospitality,Kildare,17,yes,no,2026-06-08
Tourism and hospitality,Mayo,21,yes,yes,2026-09-06
Energy,Kildare,20,no,no,2026-08-03
Tax and accounting,Kildare,12,yes,no,2026-09-05
