engine,category,domain_kind,is_ie,read
Claude,Training,Brand,yes,2026-09-05
Google AI,Marketing,Forum,no,2026-07-29
Perplexity,AI,Forum,yes,2026-05-20
Copilot,Training,Forum,yes,2026-05-26
ChatGPT,Marketing,Other,yes,2026-07-01
Claude,AI,Forum,yes,2026-08-21
Google AI,AI,Other,yes,2026-08-15
Google AI,Marketing,Other,yes,2026-09-04
Google AI,AI,Forum,yes,2026-07-06
ChatGPT,Training,Other,no,2026-05-26
Perplexity,AI,Forum,yes,2026-08-12
Perplexity,Marketing,Forum,no,2026-08-16
Perplexity,AI,Other,no,2026-06-14
Claude,Marketing,Forum,yes,2026-06-02
Perplexity,AI,Forum,no,2026-08-20
Copilot,AI,Forum,yes,2026-07-31
Perplexity,Marketing,Other,no,2026-07-25
ChatGPT,AI,State,yes,2026-08-09
Perplexity,Marketing,Other,no,2026-07-07
ChatGPT,AI,Other,no,2026-05-20
Copilot,AI,Other,no,2026-05-25
Perplexity,AI,State,yes,2026-07-17
Copilot,AI,Forum,no,2026-06-28
Perplexity,AI,Brand,yes,2026-08-25
Perplexity,AI,Other,no,2026-07-23
Copilot,AI,Other,no,2026-09-01
ChatGPT,Marketing,Brand,no,2026-06-24
Claude,AI,Other,no,2026-08-24
Perplexity,Marketing,Other,no,2026-08-07
Copilot,AI,Brand,no,2026-07-06
Claude,Training,Forum,yes,2026-05-28
Copilot,Training,Other,no,2026-07-05
Claude,Marketing,Other,no,2026-07-01
ChatGPT,AI,Forum,no,2026-09-02
Claude,Marketing,Brand,no,2026-08-08
Google AI,Marketing,Other,yes,2026-05-22
Claude,Marketing,Forum,no,2026-08-31
Perplexity,Marketing,State,no,2026-05-24
ChatGPT,Marketing,Brand,yes,2026-05-26
Copilot,Training,Forum,no,2026-07-13
Copilot,Training,Forum,yes,2026-07-04
Google AI,Marketing,Forum,no,2026-06-20
Google AI,Training,Forum,yes,2026-05-19
Perplexity,AI,Other,yes,2026-06-13
Perplexity,Marketing,Forum,no,2026-08-27
Google AI,Marketing,Forum,yes,2026-07-10
Copilot,AI,State,no,2026-08-07
Perplexity,Training,Other,no,2026-08-08
Google AI,AI,Forum,yes,2026-09-11
Copilot,Marketing,Brand,no,2026-06-07
Copilot,AI,Forum,yes,2026-09-02
Perplexity,AI,Forum,yes,2026-06-17
Claude,AI,Forum,yes,2026-08-01
Copilot,AI,Other,no,2026-07-30
Copilot,AI,State,yes,2026-06-15
ChatGPT,AI,Brand,no,2026-09-01
Copilot,Marketing,State,yes,2026-06-14
ChatGPT,Marketing,Forum,yes,2026-09-01
Perplexity,AI,Other,yes,2026-06-30
Claude,AI,Forum,yes,2026-09-03
Copilot,Training,State,yes,2026-08-01
Google AI,Marketing,Other,yes,2026-06-24
Copilot,Training,Brand,no,2026-05-23
Perplexity,AI,Forum,yes,2026-05-29
Perplexity,Training,Other,no,2026-05-26
Claude,Training,State,no,2026-08-09
ChatGPT,Training,Forum,no,2026-09-05
Copilot,Marketing,Forum,yes,2026-08-18
Perplexity,Marketing,Brand,yes,2026-07-07
ChatGPT,AI,Forum,no,2026-06-18
Claude,Marketing,Other,yes,2026-07-25
Copilot,Marketing,Forum,no,2026-06-04
ChatGPT,AI,Other,no,2026-06-02
Claude,AI,Other,no,2026-08-19
Google AI,AI,Other,no,2026-08-22
ChatGPT,AI,Other,yes,2026-09-05
Copilot,AI,Forum,no,2026-06-07
Copilot,Training,Other,no,2026-05-28
Copilot,Marketing,Forum,no,2026-08-01
Perplexity,Marketing,Other,no,2026-05-30
Copilot,Marketing,Forum,no,2026-08-20
Copilot,Training,Other,yes,2026-09-10
Claude,AI,Other,yes,2026-08-30
Perplexity,AI,Forum,yes,2026-06-28
Claude,AI,Other,no,2026-06-11
ChatGPT,AI,Forum,no,2026-08-02
Google AI,Marketing,State,no,2026-09-03
Perplexity,AI,Other,no,2026-06-25
ChatGPT,Marketing,Other,no,2026-09-12
Perplexity,AI,Other,yes,2026-07-30
Google AI,AI,Other,yes,2026-09-04
Perplexity,AI,Forum,no,2026-05-29
Copilot,AI,Other,yes,2026-06-08
Copilot,Marketing,Other,no,2026-07-26
Copilot,AI,Forum,no,2026-05-19
ChatGPT,Marketing,Forum,no,2026-07-27
Claude,Marketing,Forum,yes,2026-07-24
Copilot,AI,Other,yes,2026-09-04
Google AI,Marketing,Other,yes,2026-07-26
Copilot,Marketing,Forum,no,2026-09-06
Copilot,Marketing,Other,yes,2026-07-25
Perplexity,AI,Forum,yes,2026-06-27
Copilot,AI,State,no,2026-06-15
Claude,Training,Other,no,2026-05-31
Claude,AI,Other,yes,2026-08-24
Google AI,Marketing,Forum,yes,2026-06-12
Copilot,Marketing,Other,no,2026-09-01
Copilot,Marketing,State,yes,2026-08-21
Perplexity,Training,Other,yes,2026-05-18
Perplexity,Training,Other,no,2026-05-22
Perplexity,Training,Other,no,2026-07-10
Perplexity,Marketing,Forum,no,2026-06-05
Perplexity,Marketing,Forum,yes,2026-08-18
Perplexity,AI,Other,yes,2026-06-23
Google AI,AI,Other,no,2026-07-31
Perplexity,Marketing,Forum,no,2026-05-18
Google AI,AI,Forum,no,2026-06-15
ChatGPT,AI,Brand,no,2026-08-16
Copilot,Training,Other,no,2026-08-15
ChatGPT,Marketing,Other,no,2026-08-03
Google AI,Marketing,Other,no,2026-07-30
Google AI,AI,Forum,yes,2026-08-30
Perplexity,AI,Forum,yes,2026-05-18
Claude,AI,Forum,yes,2026-06-04
Copilot,Marketing,Other,yes,2026-09-08
Perplexity,Marketing,Forum,yes,2026-08-20
Copilot,Marketing,Other,yes,2026-08-07
Copilot,Marketing,Forum,yes,2026-08-04
Google AI,Training,Other,yes,2026-09-12
Perplexity,AI,Forum,yes,2026-06-05
Claude,Marketing,Brand,no,2026-08-24
Perplexity,Marketing,Other,yes,2026-06-17
Copilot,AI,Other,no,2026-07-14
Perplexity,AI,Brand,no,2026-05-21
Perplexity,Marketing,Other,no,2026-07-12
Perplexity,AI,Brand,yes,2026-08-14
Copilot,AI,Forum,yes,2026-07-04
Google AI,Marketing,State,no,2026-09-05
Copilot,Training,Brand,no,2026-07-26
Claude,Marketing,Forum,no,2026-08-05
Copilot,AI,Other,no,2026-07-18
Google AI,AI,Other,yes,2026-06-17
Claude,AI,Forum,no,2026-07-15
ChatGPT,AI,Other,no,2026-07-12
Perplexity,AI,Other,yes,2026-08-18
Copilot,AI,Forum,yes,2026-08-25
Copilot,AI,Forum,yes,2026-08-24
Perplexity,AI,State,yes,2026-09-11
ChatGPT,Marketing,Other,no,2026-08-06
Copilot,Marketing,Other,no,2026-06-07
Claude,AI,Other,no,2026-08-16
Perplexity,Training,Other,no,2026-06-21
Claude,AI,Forum,yes,2026-09-06
Claude,AI,Forum,no,2026-09-05
Perplexity,Marketing,Forum,no,2026-06-16
Claude,Training,Forum,yes,2026-08-20
Google AI,Training,Other,yes,2026-07-24
Copilot,Marketing,Brand,yes,2026-08-30
Claude,AI,Forum,no,2026-09-06
Copilot,AI,Forum,no,2026-06-06
Claude,AI,State,no,2026-06-15
Perplexity,Training,Forum,yes,2026-07-10
Claude,Marketing,Other,no,2026-07-14
ChatGPT,Marketing,Forum,yes,2026-07-06
Perplexity,AI,Other,no,2026-05-31
Google AI,AI,Other,no,2026-08-09
Perplexity,Training,Other,no,2026-07-15
Perplexity,Marketing,Forum,yes,2026-08-12
Copilot,AI,Other,no,2026-08-24
Copilot,AI,Other,yes,2026-05-27
Google AI,Marketing,State,no,2026-07-03
Claude,Marketing,State,no,2026-05-29
Copilot,AI,Forum,yes,2026-05-28
Claude,Marketing,Brand,no,2026-07-13
Claude,Marketing,Forum,yes,2026-08-05
Google AI,Marketing,Other,no,2026-08-18
ChatGPT,Training,Other,no,2026-06-07
Copilot,Marketing,Forum,no,2026-05-30
Google AI,Training,Brand,no,2026-07-15
Perplexity,AI,Forum,yes,2026-08-22
Perplexity,Marketing,Other,no,2026-06-11
Perplexity,AI,Forum,yes,2026-09-11
ChatGPT,AI,Other,yes,2026-05-27
Claude,AI,Forum,no,2026-06-16
ChatGPT,Marketing,Other,yes,2026-07-13
Copilot,Marketing,Forum,yes,2026-06-04
Perplexity,Marketing,Brand,no,2026-06-13
Google AI,Training,Forum,no,2026-08-18
Copilot,AI,Forum,no,2026-06-30
Google AI,Marketing,State,yes,2026-07-19
Claude,Marketing,Forum,no,2026-09-04
Perplexity,AI,Brand,no,2026-06-24
Perplexity,AI,Other,no,2026-08-04
Copilot,AI,Brand,no,2026-06-18
Copilot,AI,Forum,yes,2026-07-29
Perplexity,AI,Brand,yes,2026-08-19
Copilot,Training,Other,no,2026-07-18
Copilot,AI,Forum,no,2026-08-04
Google AI,AI,Forum,yes,2026-09-09
Copilot,AI,Brand,no,2026-06-28
Copilot,AI,Brand,yes,2026-05-31
Google AI,Marketing,Brand,no,2026-05-27
Perplexity,Marketing,Forum,no,2026-05-25
Copilot,AI,Forum,yes,2026-05-21
Perplexity,Marketing,Other,no,2026-07-25
Copilot,Marketing,Other,yes,2026-08-23
Copilot,AI,Forum,no,2026-05-19
Copilot,AI,Other,yes,2026-06-02
Perplexity,AI,Forum,no,2026-08-19
Perplexity,AI,Other,yes,2026-06-25
Perplexity,AI,Other,no,2026-07-12
Copilot,Training,Other,no,2026-09-07
Claude,Training,State,no,2026-07-05
Copilot,AI,Brand,yes,2026-06-13
Perplexity,Marketing,Forum,yes,2026-05-18
Copilot,Marketing,Forum,no,2026-07-18
Claude,Marketing,Other,yes,2026-06-17
Copilot,AI,Forum,yes,2026-07-23
Claude,Marketing,Forum,yes,2026-07-15
Claude,Marketing,Forum,no,2026-07-30
Perplexity,Marketing,Other,yes,2026-06-15
ChatGPT,AI,Forum,yes,2026-07-01
ChatGPT,AI,Other,yes,2026-08-15
ChatGPT,AI,Forum,yes,2026-08-31
Perplexity,AI,Other,yes,2026-05-30
Google AI,Marketing,Other,yes,2026-06-29
Copilot,Marketing,Other,yes,2026-06-13
Claude,Marketing,Other,no,2026-07-22
Perplexity,Training,Other,no,2026-07-16
Claude,AI,Forum,yes,2026-08-10
Copilot,AI,Other,no,2026-07-26
ChatGPT,AI,State,yes,2026-08-29
Copilot,AI,Brand,no,2026-07-17
Copilot,Training,Forum,yes,2026-08-19
Perplexity,AI,Forum,yes,2026-09-02
Google AI,AI,Other,no,2026-07-07
Copilot,AI,Forum,yes,2026-07-16
Claude,AI,Brand,yes,2026-09-07
ChatGPT,Marketing,Forum,no,2026-07-24
Perplexity,AI,Other,yes,2026-05-20
ChatGPT,AI,Forum,no,2026-06-25
Perplexity,AI,Forum,yes,2026-07-09
Copilot,AI,Other,no,2026-07-04
Copilot,AI,Forum,yes,2026-06-09
ChatGPT,Marketing,Forum,yes,2026-06-09
Perplexity,AI,Forum,no,2026-08-29
Claude,Marketing,Brand,yes,2026-08-28
Copilot,AI,Brand,yes,2026-06-07
Perplexity,Marketing,Other,yes,2026-07-08
Google AI,AI,Other,yes,2026-06-14
Perplexity,AI,Other,no,2026-06-27
Perplexity,Training,Forum,yes,2026-07-26
Claude,AI,State,yes,2026-08-28
Google AI,Training,Other,yes,2026-07-18
Claude,Training,Forum,no,2026-07-22
Perplexity,AI,State,yes,2026-08-31
Google AI,AI,Other,yes,2026-07-08
Claude,AI,Forum,no,2026-07-21
ChatGPT,Training,Forum,yes,2026-06-28
Claude,Marketing,Forum,no,2026-06-24
Copilot,Marketing,Forum,no,2026-06-25
Claude,AI,Other,no,2026-07-16
Perplexity,AI,Other,yes,2026-07-02
Google AI,Marketing,Forum,yes,2026-08-06
Claude,Marketing,Brand,yes,2026-06-09
Perplexity,Training,Forum,yes,2026-07-29
Perplexity,Marketing,Other,no,2026-09-10
Copilot,AI,Forum,no,2026-07-22
Google AI,Marketing,Brand,no,2026-07-08
Google AI,AI,Brand,no,2026-09-06
Copilot,AI,Other,no,2026-08-22
Claude,AI,Brand,yes,2026-05-21
Copilot,AI,Other,no,2026-05-22
Perplexity,AI,State,yes,2026-09-05
Perplexity,Training,Forum,no,2026-08-27
Claude,Marketing,Other,no,2026-08-25
Claude,AI,Other,yes,2026-08-08
Perplexity,AI,Other,no,2026-07-06
Claude,AI,Other,no,2026-08-09
Google AI,AI,Other,no,2026-08-29
Claude,AI,Forum,yes,2026-06-12
Copilot,AI,Other,yes,2026-06-13
Copilot,Training,Other,yes,2026-08-30
Google AI,Training,Other,yes,2026-07-18
Google AI,AI,Forum,no,2026-07-21
Claude,AI,Other,no,2026-07-20
Copilot,Marketing,Other,yes,2026-05-20
Copilot,AI,State,no,2026-08-31
ChatGPT,Training,Forum,yes,2026-08-03
Perplexity,AI,State,no,2026-08-28
Copilot,Marketing,Forum,no,2026-07-04
Copilot,AI,State,yes,2026-06-28
Claude,AI,Other,no,2026-05-25
Claude,Marketing,State,no,2026-09-11
ChatGPT,AI,Other,yes,2026-08-05
Copilot,AI,State,yes,2026-08-08
Google AI,Marketing,Forum,yes,2026-08-19
Copilot,AI,State,no,2026-06-08
Claude,Marketing,Forum,yes,2026-06-10
Copilot,AI,State,yes,2026-06-20
Google AI,Marketing,State,yes,2026-06-27
Copilot,Marketing,Other,no,2026-08-15
Claude,AI,Forum,yes,2026-08-27
Perplexity,Marketing,Other,yes,2026-07-07
Google AI,AI,Forum,no,2026-06-28
Claude,AI,Other,yes,2026-05-21
Claude,AI,Other,yes,2026-06-20
Perplexity,AI,Forum,yes,2026-08-07
Google AI,AI,Brand,no,2026-07-21
Copilot,AI,Forum,yes,2026-08-01
Copilot,AI,Forum,yes,2026-07-14
Claude,Training,Other,no,2026-08-28
Copilot,Marketing,Forum,no,2026-08-13
Claude,Marketing,Other,yes,2026-05-29
Google AI,AI,Forum,no,2026-06-05
Perplexity,Marketing,Forum,no,2026-06-18
Claude,Marketing,Forum,no,2026-07-15
Perplexity,AI,Brand,yes,2026-06-25
ChatGPT,AI,Other,yes,2026-06-17
Perplexity,AI,Forum,no,2026-07-24
Perplexity,Marketing,Forum,yes,2026-07-27
Claude,Marketing,State,yes,2026-07-25
Claude,AI,Forum,yes,2026-08-15
Copilot,Marketing,Other,yes,2026-07-07
Google AI,AI,Forum,yes,2026-07-21
Google AI,AI,Forum,no,2026-07-09
Claude,Marketing,State,no,2026-08-15
ChatGPT,AI,Other,no,2026-07-08
Claude,Training,Forum,no,2026-08-25
Perplexity,AI,Other,no,2026-06-30
Copilot,Marketing,Forum,no,2026-06-17
Perplexity,AI,State,yes,2026-06-22
Claude,Marketing,Other,no,2026-06-05
Perplexity,AI,Other,no,2026-05-19
Perplexity,Marketing,Other,no,2026-05-20
Google AI,Marketing,Forum,yes,2026-05-26
Claude,AI,Forum,no,2026-06-16
ChatGPT,Marketing,Brand,yes,2026-07-27
Copilot,AI,Other,yes,2026-06-07
Copilot,AI,Other,yes,2026-06-26
ChatGPT,AI,Forum,yes,2026-08-27
Claude,AI,Other,no,2026-06-16
Copilot,AI,Forum,yes,2026-06-16
Claude,Marketing,Brand,yes,2026-07-29
Perplexity,Marketing,Other,no,2026-07-02
ChatGPT,AI,Forum,no,2026-07-06
Copilot,Marketing,Forum,yes,2026-06-12
Claude,AI,Brand,yes,2026-05-22
Perplexity,Marketing,Forum,yes,2026-06-19
Perplexity,Marketing,Brand,no,2026-06-21
Copilot,AI,State,yes,2026-06-03
Copilot,Training,Other,no,2026-06-16
Copilot,Marketing,Other,yes,2026-09-01
Perplexity,Training,Other,no,2026-07-19
Perplexity,AI,Other,yes,2026-08-11
Claude,AI,Forum,no,2026-09-04
Perplexity,Marketing,Forum,yes,2026-08-25
Perplexity,Marketing,Forum,no,2026-07-21
Perplexity,AI,Forum,no,2026-07-25
Claude,Marketing,State,no,2026-06-06
Perplexity,Marketing,Forum,yes,2026-09-09
Claude,AI,Other,yes,2026-07-19
Google AI,Marketing,Other,no,2026-05-20
Copilot,Training,Forum,yes,2026-05-25
Google AI,AI,Forum,no,2026-07-15
Claude,Marketing,Forum,yes,2026-07-11
Claude,Marketing,Forum,yes,2026-09-09
Perplexity,AI,Forum,yes,2026-07-11
Perplexity,Marketing,Other,no,2026-05-30
ChatGPT,AI,Forum,yes,2026-07-27
Claude,Marketing,Other,yes,2026-06-02
Claude,Marketing,Other,yes,2026-06-10
Perplexity,AI,Forum,no,2026-09-01
Claude,Marketing,Forum,yes,2026-09-13
Perplexity,Marketing,Forum,no,2026-08-31
Claude,AI,Brand,yes,2026-05-21
Claude,AI,Brand,yes,2026-08-29
ChatGPT,AI,Forum,yes,2026-08-30
Perplexity,Marketing,Forum,yes,2026-06-23
Copilot,Marketing,Other,no,2026-07-07
ChatGPT,Marketing,Other,yes,2026-06-27
ChatGPT,Marketing,Forum,yes,2026-08-27
Perplexity,Marketing,Forum,yes,2026-06-12
Copilot,AI,Forum,no,2026-08-16
Copilot,Marketing,Forum,no,2026-06-06
Claude,Marketing,Other,yes,2026-08-08
Claude,AI,Other,no,2026-06-09
Copilot,Training,Other,no,2026-08-17
Claude,AI,Forum,yes,2026-07-12
Copilot,Marketing,Forum,no,2026-07-15
Google AI,AI,Forum,no,2026-07-30
Perplexity,Marketing,Brand,no,2026-08-23
Copilot,AI,Other,yes,2026-07-08
Copilot,Marketing,Other,yes,2026-08-20
Perplexity,AI,Forum,no,2026-06-24
Claude,Training,Forum,yes,2026-06-05
Copilot,Training,Other,yes,2026-09-02
Claude,AI,Forum,no,2026-08-02
Claude,Marketing,Forum,yes,2026-08-02
Claude,Marketing,Forum,no,2026-05-21
Perplexity,AI,Other,no,2026-06-25
Claude,Marketing,Other,no,2026-08-29
Claude,Marketing,Forum,no,2026-07-09
Perplexity,AI,Other,no,2026-08-20
ChatGPT,Marketing,State,no,2026-05-30
Claude,AI,Other,no,2026-08-31
Copilot,Marketing,State,yes,2026-07-02
Perplexity,Marketing,State,no,2026-08-07
Copilot,Marketing,Forum,no,2026-05-29
ChatGPT,Marketing,Forum,no,2026-07-04
Perplexity,AI,Other,yes,2026-07-01
Claude,Marketing,Other,no,2026-08-02
Copilot,Training,Other,yes,2026-08-19
ChatGPT,Training,Other,no,2026-07-10
ChatGPT,AI,Brand,no,2026-07-12
Perplexity,Marketing,Forum,no,2026-05-18
Perplexity,AI,State,yes,2026-06-20
Claude,Marketing,Brand,yes,2026-08-05
Copilot,AI,Other,yes,2026-06-27
Google AI,AI,Forum,yes,2026-08-01
Claude,AI,Forum,no,2026-08-18
Claude,AI,Forum,no,2026-09-05
Perplexity,AI,State,yes,2026-08-24
Perplexity,AI,Forum,no,2026-09-08
ChatGPT,Training,Forum,no,2026-09-05
Copilot,Marketing,State,yes,2026-06-22
Perplexity,AI,State,no,2026-08-18
Claude,AI,Forum,yes,2026-07-01
ChatGPT,Marketing,Brand,yes,2026-07-23
Perplexity,Marketing,Other,no,2026-08-11
Copilot,Marketing,Other,yes,2026-06-08
Claude,Marketing,Forum,no,2026-08-21
Claude,AI,State,yes,2026-05-28
Google AI,Marketing,State,no,2026-08-13
Claude,AI,Other,no,2026-07-14
Perplexity,Training,Forum,yes,2026-06-07
Copilot,AI,State,no,2026-08-17
Claude,Marketing,Brand,yes,2026-07-27
Copilot,Marketing,State,yes,2026-09-13
Claude,AI,State,no,2026-08-23
Claude,AI,State,no,2026-08-08
Claude,AI,Other,no,2026-05-31
Perplexity,Training,Forum,no,2026-08-24
ChatGPT,AI,Other,yes,2026-06-23
Perplexity,AI,Other,no,2026-09-04
ChatGPT,Marketing,Forum,no,2026-06-16
ChatGPT,Training,Forum,yes,2026-08-25
ChatGPT,Training,Other,yes,2026-05-28
Google AI,Training,Forum,no,2026-07-12
Copilot,AI,Other,no,2026-06-15
Perplexity,Training,Other,yes,2026-07-12
Claude,Marketing,Other,yes,2026-08-05
Google AI,Marketing,Brand,yes,2026-08-11
Copilot,Training,Brand,no,2026-09-12
Perplexity,Marketing,Forum,yes,2026-05-19
Copilot,AI,Forum,no,2026-05-19
Perplexity,AI,Other,yes,2026-06-28
Claude,AI,Forum,yes,2026-08-29
Perplexity,Training,Brand,yes,2026-08-07
Perplexity,Training,Other,no,2026-07-03
ChatGPT,AI,Other,yes,2026-09-09
Claude,Marketing,Forum,no,2026-06-07
Claude,Training,Other,no,2026-08-21
Copilot,Marketing,Forum,yes,2026-06-08
Claude,Marketing,Forum,no,2026-05-25
Claude,AI,Forum,yes,2026-06-04
Perplexity,Marketing,Forum,no,2026-06-19
Google AI,Training,State,yes,2026-09-14
Copilot,Marketing,State,yes,2026-06-17
Copilot,AI,Forum,no,2026-08-28
Perplexity,Marketing,Brand,yes,2026-06-20
Google AI,Marketing,Other,no,2026-06-12
Perplexity,AI,Brand,yes,2026-09-07
ChatGPT,Marketing,Forum,yes,2026-06-25
Claude,AI,Forum,no,2026-07-25
Perplexity,Marketing,Forum,no,2026-09-09
Copilot,Marketing,Other,no,2026-06-08
Perplexity,AI,Brand,no,2026-07-04
Claude,Training,Other,no,2026-07-15
ChatGPT,Marketing,Other,no,2026-06-26
ChatGPT,Marketing,Forum,yes,2026-07-05
Google AI,Marketing,Forum,yes,2026-06-30
Perplexity,AI,Forum,no,2026-07-30
Copilot,Marketing,Forum,yes,2026-05-21
ChatGPT,Training,Forum,yes,2026-09-10
Perplexity,AI,Other,yes,2026-05-30
Perplexity,AI,Other,yes,2026-07-11
Claude,Marketing,Forum,no,2026-07-01
Perplexity,Training,Other,yes,2026-08-10
Claude,Marketing,Other,yes,2026-09-02
Copilot,Marketing,State,yes,2026-07-25
Perplexity,AI,Forum,yes,2026-09-13
Copilot,AI,State,yes,2026-07-24
Perplexity,Marketing,Other,no,2026-07-28
Copilot,Marketing,Forum,no,2026-06-08
Copilot,Training,Forum,yes,2026-07-12
Claude,AI,State,no,2026-06-01
Copilot,AI,Other,yes,2026-07-02
Perplexity,AI,State,no,2026-08-11
Perplexity,Marketing,Brand,yes,2026-06-08
Perplexity,AI,Forum,yes,2026-06-22
Copilot,Marketing,State,yes,2026-06-19
Copilot,AI,Brand,yes,2026-05-27
Copilot,Training,State,yes,2026-07-30
Copilot,Marketing,Other,no,2026-08-29
Claude,AI,Other,no,2026-06-04
Perplexity,AI,Brand,no,2026-09-12
Copilot,AI,Brand,yes,2026-07-16
Perplexity,AI,Forum,no,2026-07-17
Copilot,AI,Other,no,2026-07-06
Copilot,Marketing,Brand,no,2026-09-12
Google AI,Marketing,Forum,no,2026-08-14
ChatGPT,AI,Forum,yes,2026-07-05
Claude,Marketing,State,no,2026-09-11
Perplexity,Marketing,Forum,no,2026-09-13
Perplexity,Marketing,Other,no,2026-07-15
Copilot,AI,State,yes,2026-06-17
ChatGPT,AI,Other,no,2026-07-29
Copilot,Training,Brand,no,2026-06-01
Claude,Marketing,Other,yes,2026-07-28
Copilot,Marketing,Other,yes,2026-08-13
Perplexity,Marketing,Other,no,2026-06-05
Claude,AI,Other,no,2026-06-13
Copilot,Training,Other,yes,2026-06-05
Claude,Marketing,Brand,yes,2026-07-21
Claude,Marketing,Forum,yes,2026-08-06
Perplexity,Marketing,Other,yes,2026-07-17
Google AI,Marketing,Forum,yes,2026-06-13
Copilot,Marketing,Forum,yes,2026-08-29
Copilot,AI,Forum,no,2026-09-08
Copilot,AI,Forum,no,2026-09-02
ChatGPT,Marketing,Other,no,2026-09-05
Claude,AI,Other,no,2026-07-04
Google AI,AI,Brand,yes,2026-06-25
Google AI,Marketing,State,no,2026-07-07
Claude,AI,State,yes,2026-09-02
Google AI,Marketing,Other,no,2026-08-10
Claude,AI,State,yes,2026-07-16
Copilot,Marketing,Brand,yes,2026-08-12
Claude,Marketing,Forum,no,2026-07-04
Copilot,AI,State,no,2026-08-12
ChatGPT,AI,Other,yes,2026-08-29
Google AI,Marketing,Forum,yes,2026-08-17
Copilot,AI,State,yes,2026-06-19
Google AI,AI,Forum,no,2026-08-07
Copilot,AI,Forum,no,2026-07-08
Perplexity,AI,Brand,yes,2026-07-11
Copilot,AI,Brand,yes,2026-07-02
Claude,Training,Brand,yes,2026-05-30
Claude,Marketing,Brand,no,2026-06-13
Google AI,Training,Forum,no,2026-07-05
Claude,Marketing,State,yes,2026-07-12
Copilot,AI,Forum,yes,2026-08-24
Perplexity,Marketing,Other,yes,2026-09-13
Perplexity,Marketing,Brand,yes,2026-06-11
Perplexity,Marketing,Brand,no,2026-06-11
Perplexity,AI,Brand,no,2026-07-16
Perplexity,AI,Forum,no,2026-07-11
Claude,AI,State,no,2026-05-23
Perplexity,Training,Other,yes,2026-07-11
Google AI,AI,Other,no,2026-05-27
Claude,Training,Other,yes,2026-08-24
Google AI,Marketing,Brand,yes,2026-08-11
Perplexity,Marketing,Forum,no,2026-08-27
Copilot,Marketing,Forum,yes,2026-07-05
Perplexity,AI,Other,no,2026-07-01
Claude,AI,Brand,no,2026-09-06
Google AI,AI,Forum,yes,2026-08-15
Perplexity,Marketing,Other,yes,2026-09-03
Perplexity,AI,Other,yes,2026-06-09
Copilot,AI,Forum,no,2026-08-31
Perplexity,Marketing,Brand,yes,2026-05-18
Copilot,Marketing,Forum,no,2026-09-14
ChatGPT,AI,Other,no,2026-07-14
Copilot,AI,Other,yes,2026-07-11
Copilot,AI,Brand,no,2026-07-22
Google AI,Marketing,Forum,no,2026-07-01
ChatGPT,Marketing,State,yes,2026-07-20
Perplexity,AI,Forum,no,2026-08-15
Perplexity,AI,Forum,no,2026-05-30
ChatGPT,AI,Forum,yes,2026-09-14
Claude,Training,Other,yes,2026-08-17
ChatGPT,Training,Other,yes,2026-08-27
Perplexity,AI,Forum,no,2026-09-11
Perplexity,AI,Forum,yes,2026-06-17
Copilot,AI,Other,yes,2026-05-21
Copilot,AI,State,yes,2026-07-30
Perplexity,AI,State,yes,2026-05-24
Google AI,Marketing,Brand,no,2026-06-11
Claude,Marketing,Other,yes,2026-06-27
Google AI,AI,Brand,yes,2026-09-14
Google AI,AI,Brand,no,2026-09-03
Claude,Marketing,Forum,no,2026-06-01
Copilot,Marketing,Forum,yes,2026-08-15
Perplexity,Marketing,Forum,no,2026-05-27
Claude,AI,Forum,yes,2026-05-24
Perplexity,Marketing,Brand,yes,2026-08-29
Claude,Training,Forum,yes,2026-06-11
Copilot,AI,Other,no,2026-08-11
Claude,Marketing,Other,no,2026-05-28
ChatGPT,Training,State,no,2026-08-26
Perplexity,Marketing,Other,no,2026-09-14
Perplexity,AI,Forum,no,2026-08-11
Copilot,Marketing,Brand,yes,2026-06-10
Copilot,AI,Brand,no,2026-09-10
Claude,Training,Other,no,2026-07-24
Claude,AI,State,no,2026-07-29
Perplexity,Marketing,Other,yes,2026-08-05
ChatGPT,AI,Brand,no,2026-07-19
ChatGPT,Marketing,Other,yes,2026-06-21
ChatGPT,AI,State,no,2026-06-19
ChatGPT,AI,Forum,no,2026-08-07
Copilot,Marketing,Forum,no,2026-09-12
Google AI,AI,Other,yes,2026-08-30
Copilot,AI,Other,no,2026-05-20
Perplexity,Marketing,Brand,no,2026-05-21
Copilot,AI,Other,yes,2026-08-20
Claude,Marketing,Forum,yes,2026-08-09
Perplexity,Training,Forum,no,2026-05-21
Claude,Marketing,Other,no,2026-06-05
Perplexity,Marketing,Forum,no,2026-08-19
Copilot,Marketing,State,yes,2026-06-12
Perplexity,AI,Other,no,2026-07-24
Google AI,AI,Brand,no,2026-08-03
Perplexity,Training,Other,yes,2026-07-19
ChatGPT,AI,Other,no,2026-09-11
Perplexity,Marketing,Other,yes,2026-08-27
Claude,Marketing,Forum,yes,2026-08-16
Copilot,Marketing,Forum,no,2026-08-30
Claude,Training,Brand,yes,2026-08-20
Claude,Training,Forum,yes,2026-05-23
Copilot,Training,Forum,yes,2026-06-30
Copilot,AI,Forum,yes,2026-06-12
Perplexity,AI,State,no,2026-07-23
Copilot,AI,State,yes,2026-09-14
Perplexity,AI,Brand,yes,2026-08-19
Perplexity,AI,Forum,yes,2026-07-27
