agent,task,cost,seconds,handed_back,run
Cato,Checking,152,106,no,2026-05-26
Lena,Checking,283,387,yes,2026-08-23
Cato,Writing,39,415,yes,2026-07-07
Cato,Research,231,176,no,2026-07-26
Sam,Checking,346,278,no,2026-08-09
Lena,Writing,121,147,yes,2026-09-16
Sam,Checking,328,298,no,2026-07-19
Cato,Research,208,269,yes,2026-09-09
Cato,Checking,1,99,yes,2026-06-06
Vera,Checking,268,274,yes,2026-06-07
Lena,Reporting,85,294,yes,2026-08-03
Cato,Writing,357,240,no,2026-08-21
Cato,Research,325,313,no,2026-06-02
Vera,Checking,163,179,no,2026-05-27
Vera,Checking,362,423,no,2026-08-04
Sam,Checking,138,86,yes,2026-05-29
Cato,Writing,12,100,yes,2026-07-08
Cato,Checking,375,357,no,2026-07-12
Cato,Checking,55,335,yes,2026-09-06
Vera,Writing,375,302,yes,2026-07-26
Cato,Checking,387,329,yes,2026-09-04
Cato,Writing,173,181,yes,2026-09-02
Cato,Writing,435,498,yes,2026-08-21
Cato,Writing,159,145,yes,2026-07-01
Sam,Writing,31,7,yes,2026-06-09
Cato,Research,275,350,yes,2026-05-24
Vera,Research,40,240,no,2026-08-24
Cato,Checking,293,327,no,2026-08-02
Sam,Checking,294,202,yes,2026-08-29
Cato,Checking,179,343,yes,2026-06-12
Sam,Reporting,435,479,yes,2026-09-17
Cato,Checking,220,235,yes,2026-08-28
Sam,Checking,60,111,yes,2026-06-16
Lena,Checking,276,454,yes,2026-08-14
Cato,Research,105,204,no,2026-07-09
Cato,Checking,257,327,no,2026-09-17
Sam,Checking,312,331,yes,2026-05-29
Lena,Checking,255,313,yes,2026-09-14
Sam,Checking,471,464,no,2026-05-29
Sam,Reporting,224,297,no,2026-06-03
Cato,Writing,159,-7,yes,2026-09-20
Sam,Checking,212,464,no,2026-08-23
Sam,Checking,1,243,no,2026-08-04
Lena,Checking,336,174,yes,2026-05-26
Cato,Research,338,133,no,2026-06-17
Sam,Writing,136,262,no,2026-09-06
Cato,Research,404,291,yes,2026-06-19
Lena,Research,129,275,yes,2026-08-12
Cato,Checking,-11,28,no,2026-06-24
Cato,Checking,262,265,no,2026-07-10
Sam,Writing,31,237,yes,2026-07-12
Cato,Writing,375,388,no,2026-08-22
Cato,Checking,283,184,no,2026-08-28
Cato,Checking,112,220,no,2026-06-11
Vera,Writing,339,508,no,2026-09-13
Cato,Writing,73,280,no,2026-06-03
Cato,Checking,-12,36,no,2026-07-25
Cato,Checking,275,399,yes,2026-08-01
Cato,Checking,-68,237,no,2026-06-03
Cato,Reporting,229,181,yes,2026-06-22
Cato,Research,405,337,no,2026-09-16
Sam,Checking,254,310,yes,2026-06-17
Cato,Checking,410,340,yes,2026-06-04
Cato,Checking,43,114,no,2026-07-14
Sam,Research,-33,9,yes,2026-08-03
Vera,Checking,197,270,yes,2026-07-11
Cato,Writing,89,301,yes,2026-07-03
Cato,Writing,299,310,no,2026-05-24
Lena,Writing,368,270,no,2026-08-09
Sam,Reporting,255,238,no,2026-06-28
Cato,Writing,339,322,no,2026-09-16
Vera,Checking,213,245,yes,2026-09-10
Lena,Writing,-5,49,yes,2026-06-15
Cato,Checking,380,357,yes,2026-06-08
Sam,Checking,4,204,yes,2026-07-02
Cato,Writing,309,191,yes,2026-06-11
Vera,Reporting,392,254,yes,2026-06-13
Vera,Checking,175,350,yes,2026-09-12
Cato,Research,377,432,yes,2026-07-07
Vera,Research,86,93,yes,2026-07-14
Sam,Checking,-24,-60,yes,2026-07-13
Cato,Checking,355,331,no,2026-07-05
Cato,Checking,-35,274,yes,2026-08-09
Cato,Checking,249,231,no,2026-07-11
Cato,Reporting,237,296,yes,2026-09-09
Sam,Checking,132,200,no,2026-08-24
Cato,Checking,470,465,no,2026-08-14
Vera,Checking,78,104,yes,2026-06-17
Cato,Checking,-29,101,no,2026-06-07
Sam,Research,291,288,yes,2026-09-10
Cato,Checking,-22,415,yes,2026-07-14
Cato,Checking,221,270,yes,2026-07-30
Cato,Checking,239,164,yes,2026-09-13
Lena,Writing,199,207,yes,2026-06-04
Sam,Checking,306,298,no,2026-07-25
Cato,Writing,234,144,yes,2026-07-19
Lena,Reporting,100,102,no,2026-06-29
Vera,Writing,289,359,no,2026-07-06
Sam,Research,75,225,yes,2026-08-22
Cato,Writing,344,241,yes,2026-08-07
Lena,Writing,264,238,yes,2026-07-14
Vera,Writing,164,279,no,2026-08-27
Sam,Research,346,411,yes,2026-07-22
Sam,Checking,179,298,no,2026-07-14
Sam,Checking,1,101,no,2026-09-15
Cato,Writing,249,287,no,2026-07-15
Cato,Reporting,80,323,yes,2026-08-25
Cato,Checking,234,331,no,2026-08-08
Cato,Writing,347,308,no,2026-07-05
Cato,Checking,107,350,yes,2026-06-27
Vera,Checking,346,358,no,2026-06-07
Cato,Writing,211,86,no,2026-08-16
Sam,Research,103,-8,yes,2026-09-13
Lena,Checking,206,469,no,2026-07-16
Cato,Writing,76,276,yes,2026-08-12
Lena,Checking,293,280,no,2026-07-20
Lena,Reporting,316,181,yes,2026-07-04
Cato,Checking,225,310,no,2026-07-07
Cato,Checking,419,353,yes,2026-07-16
Sam,Writing,228,129,no,2026-06-19
Cato,Writing,-7,-92,yes,2026-08-02
Sam,Checking,183,417,no,2026-06-01
Cato,Writing,75,402,no,2026-08-26
Sam,Research,322,322,no,2026-05-31
Cato,Checking,291,299,no,2026-06-16
Vera,Checking,107,143,yes,2026-07-26
Sam,Checking,472,452,yes,2026-06-12
Cato,Checking,49,227,no,2026-09-02
Vera,Checking,79,50,yes,2026-08-13
Cato,Research,254,266,yes,2026-08-22
Sam,Checking,4,266,no,2026-08-14
Cato,Checking,222,273,yes,2026-09-06
Sam,Checking,294,336,no,2026-07-14
Cato,Checking,156,250,no,2026-07-24
Sam,Research,408,341,yes,2026-08-25
Cato,Checking,192,84,yes,2026-08-21
Cato,Checking,28,78,no,2026-07-17
Vera,Reporting,376,426,yes,2026-06-26
Sam,Checking,63,357,yes,2026-08-25
Cato,Writing,279,282,yes,2026-09-06
Lena,Writing,248,262,yes,2026-07-27
Sam,Checking,124,293,no,2026-06-02
Lena,Checking,411,462,yes,2026-09-19
Cato,Checking,199,156,no,2026-05-26
Cato,Writing,-34,-101,yes,2026-06-02
Vera,Research,218,371,yes,2026-06-09
Sam,Writing,62,346,yes,2026-07-03
Sam,Checking,259,277,no,2026-08-20
Cato,Checking,362,267,no,2026-06-26
Cato,Checking,120,253,no,2026-08-31
Lena,Checking,359,394,no,2026-05-30
Sam,Writing,42,221,no,2026-09-20
Sam,Checking,-27,-74,yes,2026-07-28
Sam,Checking,252,312,yes,2026-05-24
Cato,Writing,126,284,yes,2026-08-23
Lena,Writing,284,184,no,2026-08-03
Lena,Writing,323,246,yes,2026-06-26
Vera,Research,177,357,no,2026-06-02
Cato,Checking,477,475,no,2026-08-28
Cato,Checking,133,89,yes,2026-08-09
Lena,Checking,2,0,no,2026-07-10
Cato,Checking,295,343,yes,2026-06-25
Cato,Writing,111,322,no,2026-06-03
Sam,Writing,240,345,no,2026-06-12
Sam,Checking,344,212,no,2026-08-20
Vera,Checking,293,263,yes,2026-08-06
Cato,Reporting,397,438,no,2026-09-09
Cato,Checking,77,83,no,2026-07-06
Sam,Writing,106,105,yes,2026-06-16
Vera,Reporting,294,477,no,2026-07-20
Cato,Reporting,127,389,no,2026-08-18
Sam,Writing,309,173,no,2026-07-03
Vera,Checking,334,277,yes,2026-07-23
Lena,Writing,156,232,yes,2026-06-20
Sam,Writing,384,382,yes,2026-05-26
Lena,Checking,91,176,yes,2026-07-29
Cato,Checking,44,112,no,2026-09-15
Cato,Checking,233,415,no,2026-06-20
Vera,Reporting,104,311,no,2026-07-22
Cato,Checking,210,324,no,2026-07-10
Sam,Checking,323,186,no,2026-07-15
Cato,Research,148,158,no,2026-09-17
Cato,Checking,387,464,no,2026-07-18
Sam,Checking,220,211,yes,2026-09-10
Cato,Writing,149,52,yes,2026-06-20
Sam,Writing,289,417,no,2026-09-06
Cato,Checking,-39,297,no,2026-06-13
Lena,Checking,357,274,no,2026-07-02
Sam,Writing,339,315,yes,2026-06-09
Sam,Writing,262,321,no,2026-05-29
Cato,Reporting,305,300,yes,2026-07-07
Sam,Checking,96,193,no,2026-07-25
Cato,Checking,95,-12,no,2026-08-25
Vera,Research,284,474,yes,2026-06-16
Cato,Checking,11,345,no,2026-09-16
Cato,Reporting,368,237,no,2026-09-06
Lena,Writing,406,127,yes,2026-06-27
Cato,Writing,230,359,no,2026-06-28
Lena,Writing,444,402,yes,2026-06-09
Cato,Checking,146,209,yes,2026-06-08
Cato,Checking,117,-37,no,2026-08-09
Lena,Checking,207,472,yes,2026-09-11
Cato,Checking,117,288,no,2026-06-27
Sam,Writing,281,381,yes,2026-08-14
Lena,Writing,327,210,yes,2026-09-10
Sam,Checking,102,277,yes,2026-08-07
Lena,Reporting,281,314,yes,2026-08-25
Sam,Research,210,301,yes,2026-09-06
Cato,Writing,67,-64,no,2026-05-31
Cato,Checking,366,439,yes,2026-08-03
Cato,Checking,-71,335,no,2026-06-30
Sam,Checking,216,343,yes,2026-08-23
Sam,Writing,342,140,yes,2026-05-24
Cato,Writing,173,277,yes,2026-08-20
Cato,Research,440,475,no,2026-07-12
Cato,Checking,218,240,yes,2026-07-12
Sam,Writing,91,7,yes,2026-08-30
Cato,Checking,375,309,no,2026-06-09
Cato,Checking,119,266,yes,2026-06-09
Cato,Writing,299,394,yes,2026-07-23
Cato,Checking,214,222,yes,2026-09-15
Sam,Checking,122,335,yes,2026-09-02
Cato,Checking,406,284,yes,2026-08-04
Cato,Research,222,94,no,2026-06-15
Vera,Checking,52,-89,yes,2026-07-09
Cato,Checking,272,356,yes,2026-08-18
Cato,Checking,-4,243,yes,2026-08-30
Cato,Checking,384,363,no,2026-07-11
Lena,Checking,417,203,yes,2026-07-27
Cato,Checking,282,190,yes,2026-06-16
Cato,Reporting,461,498,yes,2026-09-04
Sam,Reporting,99,115,no,2026-05-25
Cato,Checking,118,-80,no,2026-07-28
Sam,Research,338,367,no,2026-06-28
Cato,Checking,1,414,no,2026-07-29
Lena,Checking,316,258,yes,2026-07-26
Sam,Research,253,243,yes,2026-09-19
Sam,Writing,104,246,yes,2026-07-08
Cato,Checking,454,382,no,2026-09-09
Sam,Checking,146,223,no,2026-07-30
Sam,Checking,75,-92,yes,2026-08-29
Cato,Reporting,346,458,no,2026-05-29
Cato,Checking,-20,337,yes,2026-07-12
Cato,Checking,214,377,no,2026-06-12
Sam,Writing,226,238,no,2026-08-19
Lena,Writing,228,244,yes,2026-08-27
Cato,Checking,448,376,yes,2026-07-22
Cato,Writing,57,111,yes,2026-07-20
Sam,Checking,113,123,yes,2026-07-17
Vera,Checking,262,430,no,2026-07-21
Sam,Checking,8,371,yes,2026-08-08
Sam,Writing,337,369,yes,2026-06-29
Cato,Checking,277,280,yes,2026-07-17
Cato,Research,282,136,yes,2026-09-12
Cato,Writing,307,396,no,2026-07-09
Cato,Checking,164,302,yes,2026-07-15
Cato,Writing,143,123,yes,2026-07-14
Cato,Checking,316,471,no,2026-07-23
Sam,Checking,73,269,yes,2026-08-28
Cato,Checking,357,249,yes,2026-05-31
Cato,Reporting,288,176,yes,2026-06-11
Vera,Writing,194,258,no,2026-06-08
Sam,Checking,370,381,yes,2026-08-11
Cato,Writing,161,185,no,2026-07-23
Cato,Checking,60,95,no,2026-08-15
Sam,Research,342,288,yes,2026-07-04
Cato,Writing,49,283,yes,2026-06-30
Cato,Writing,286,323,yes,2026-08-05
Cato,Checking,327,226,yes,2026-08-05
Cato,Research,144,265,yes,2026-08-10
Sam,Writing,468,330,yes,2026-09-11
Cato,Checking,67,90,no,2026-08-10
Cato,Checking,1,-58,yes,2026-08-14
Cato,Writing,192,418,yes,2026-08-05
Vera,Writing,33,298,yes,2026-08-24
Sam,Checking,247,245,no,2026-08-22
Cato,Writing,304,138,no,2026-06-25
Sam,Writing,129,356,no,2026-07-22
Sam,Research,389,294,yes,2026-07-25
Sam,Writing,57,118,no,2026-09-02
Cato,Reporting,76,-48,yes,2026-05-26
Cato,Writing,347,360,yes,2026-05-24
Lena,Checking,65,235,no,2026-08-22
Cato,Writing,311,373,yes,2026-06-17
Cato,Checking,234,218,no,2026-06-11
Cato,Writing,228,307,no,2026-07-26
Cato,Checking,364,376,no,2026-08-09
Cato,Checking,99,185,yes,2026-08-25
Sam,Checking,0,63,no,2026-07-31
Cato,Reporting,359,486,yes,2026-09-15
Cato,Reporting,24,344,no,2026-07-10
Cato,Checking,227,379,no,2026-07-11
Cato,Checking,337,243,yes,2026-08-22
Cato,Checking,147,291,yes,2026-08-22
Lena,Checking,463,415,yes,2026-05-26
Cato,Checking,133,160,no,2026-07-18
Cato,Reporting,53,47,yes,2026-06-27
Sam,Research,231,314,yes,2026-06-04
Lena,Checking,131,198,no,2026-06-08
Cato,Checking,382,195,no,2026-06-12
Cato,Checking,355,237,no,2026-08-09
Lena,Reporting,219,355,yes,2026-06-30
Cato,Reporting,389,388,yes,2026-09-06
Sam,Reporting,87,299,no,2026-06-30
Lena,Checking,2,115,no,2026-06-07
Vera,Writing,251,292,no,2026-06-28
Sam,Writing,111,293,yes,2026-07-23
Cato,Writing,221,192,yes,2026-09-05
Sam,Writing,279,183,yes,2026-07-03
Sam,Checking,286,195,yes,2026-07-09
Lena,Checking,343,431,no,2026-07-29
Sam,Research,187,270,no,2026-07-28
Cato,Checking,101,7,yes,2026-07-28
Cato,Research,330,314,yes,2026-07-19
Cato,Writing,96,353,no,2026-09-04
Lena,Research,217,214,yes,2026-07-18
Cato,Writing,345,307,no,2026-06-23
Cato,Reporting,163,315,no,2026-08-06
Cato,Writing,372,345,no,2026-08-02
Cato,Checking,144,302,no,2026-07-11
Lena,Reporting,-20,-65,no,2026-09-02
Lena,Checking,301,300,yes,2026-08-11
Cato,Checking,50,347,no,2026-05-25
Cato,Writing,373,348,no,2026-07-18
Cato,Writing,307,184,yes,2026-07-21
Sam,Writing,247,355,yes,2026-07-14
Cato,Writing,329,509,yes,2026-05-31
Lena,Writing,177,88,no,2026-08-11
Cato,Checking,164,-56,no,2026-07-24
Sam,Checking,372,424,yes,2026-07-03
Vera,Reporting,-3,205,no,2026-08-08
Cato,Checking,334,184,no,2026-06-13
Cato,Reporting,285,264,no,2026-09-19
Cato,Reporting,197,286,no,2026-09-02
Vera,Writing,428,420,no,2026-08-03
Sam,Writing,183,216,yes,2026-05-31
Vera,Reporting,49,-22,yes,2026-07-09
Cato,Writing,355,371,no,2026-08-07
Vera,Checking,-54,226,no,2026-09-12
Sam,Checking,286,217,no,2026-06-26
Cato,Checking,372,198,yes,2026-06-28
Vera,Checking,121,359,yes,2026-07-03
Lena,Research,297,309,yes,2026-07-05
Sam,Writing,39,120,yes,2026-05-27
Sam,Writing,160,113,no,2026-08-01
Cato,Checking,298,435,yes,2026-06-16
Sam,Checking,65,267,no,2026-08-10
Sam,Checking,235,192,no,2026-07-18
Cato,Checking,222,177,yes,2026-05-31
Lena,Checking,290,202,yes,2026-05-29
Cato,Checking,354,317,no,2026-08-31
Sam,Checking,55,120,no,2026-06-07
Cato,Research,-30,121,no,2026-07-01
Sam,Checking,336,291,yes,2026-06-04
Sam,Writing,-37,400,yes,2026-09-09
Vera,Checking,342,257,yes,2026-09-18
Vera,Checking,295,155,yes,2026-06-08
Vera,Checking,263,237,no,2026-06-17
Cato,Research,450,386,no,2026-07-18
Vera,Reporting,54,269,no,2026-06-15
Vera,Reporting,93,-25,yes,2026-09-04
Sam,Checking,373,334,no,2026-07-11
Cato,Checking,81,368,no,2026-09-19
Cato,Checking,218,334,yes,2026-08-04
Vera,Reporting,381,264,yes,2026-09-17
Sam,Reporting,244,133,yes,2026-06-27
Sam,Reporting,372,324,no,2026-06-13
Cato,Reporting,30,121,yes,2026-06-03
Sam,Checking,73,31,no,2026-06-13
Sam,Checking,328,446,yes,2026-06-11
Sam,Checking,76,196,yes,2026-09-04
Cato,Checking,216,361,no,2026-08-06
Cato,Checking,339,145,yes,2026-08-22
Sam,Checking,134,285,no,2026-09-08
Sam,Writing,371,443,yes,2026-09-05
Cato,Checking,69,230,no,2026-05-30
Cato,Research,163,-35,no,2026-06-05
Cato,Writing,378,461,no,2026-07-21
Cato,Checking,21,421,yes,2026-07-10
Cato,Writing,396,322,yes,2026-09-09
Sam,Reporting,270,195,yes,2026-07-14
Vera,Research,102,297,no,2026-07-03
Cato,Checking,449,457,yes,2026-07-02
Cato,Checking,221,87,yes,2026-09-17
Cato,Reporting,18,119,no,2026-09-14
Vera,Research,204,403,no,2026-05-31
Vera,Checking,91,252,no,2026-08-13
Lena,Checking,356,228,no,2026-08-28
Cato,Writing,406,346,yes,2026-08-12
Sam,Checking,108,202,yes,2026-05-26
Vera,Writing,432,488,yes,2026-07-28
Cato,Checking,153,272,no,2026-07-14
Cato,Writing,150,-32,no,2026-05-27
Lena,Checking,211,431,no,2026-08-24
Lena,Reporting,69,337,no,2026-06-11
Cato,Checking,298,228,no,2026-06-30
Vera,Checking,221,226,yes,2026-06-28
Vera,Writing,282,322,no,2026-06-25
Vera,Checking,346,371,no,2026-06-28
Cato,Writing,56,272,no,2026-09-14
Sam,Research,170,-96,no,2026-08-24
Sam,Writing,228,407,yes,2026-06-01
Sam,Checking,21,269,no,2026-07-12
Sam,Reporting,361,183,yes,2026-06-29
Cato,Checking,402,123,yes,2026-09-07
Lena,Checking,204,346,yes,2026-09-19
Cato,Writing,311,479,yes,2026-07-01
Sam,Writing,225,145,no,2026-07-01
Sam,Checking,45,96,yes,2026-07-03
Cato,Checking,387,454,yes,2026-08-22
Cato,Reporting,-41,406,no,2026-07-09
Cato,Checking,254,377,no,2026-06-22
Cato,Checking,215,292,yes,2026-07-26
Sam,Reporting,302,243,yes,2026-06-28
Cato,Writing,299,454,no,2026-07-24
Cato,Writing,73,87,no,2026-08-04
Sam,Checking,78,-35,yes,2026-09-13
Cato,Checking,362,336,yes,2026-07-28
Cato,Checking,-49,385,no,2026-08-25
Cato,Reporting,278,288,no,2026-07-22
Cato,Checking,276,131,no,2026-08-21
Cato,Checking,153,307,no,2026-07-26
Vera,Research,336,357,no,2026-09-17
Sam,Writing,129,269,yes,2026-08-13
Vera,Reporting,57,-2,no,2026-08-29
Lena,Writing,383,266,yes,2026-06-01
Vera,Writing,-44,226,yes,2026-07-18
Cato,Reporting,250,334,no,2026-06-22
Sam,Checking,390,284,yes,2026-06-22
Cato,Writing,280,317,no,2026-08-06
Sam,Checking,393,413,yes,2026-05-28
Cato,Writing,32,226,no,2026-06-14
Lena,Research,96,71,yes,2026-08-07
Cato,Checking,309,344,yes,2026-07-31
Sam,Checking,-8,337,yes,2026-05-28
Vera,Writing,309,378,yes,2026-07-07
Cato,Writing,409,237,yes,2026-07-02
Sam,Checking,108,168,yes,2026-09-06
Cato,Checking,355,439,no,2026-07-15
Lena,Checking,204,86,yes,2026-07-16
Cato,Checking,102,-97,no,2026-09-17
Cato,Research,290,477,yes,2026-07-13
Cato,Research,-50,416,no,2026-09-19
Cato,Checking,264,256,yes,2026-07-28
Cato,Checking,250,184,no,2026-09-04
Vera,Checking,296,282,no,2026-09-10
Vera,Checking,430,314,yes,2026-06-16
Cato,Checking,122,155,no,2026-06-12
Vera,Checking,153,-95,no,2026-08-22
Sam,Research,304,313,no,2026-06-02
Vera,Reporting,-54,258,no,2026-08-17
Cato,Writing,356,321,yes,2026-06-18
Cato,Checking,325,165,no,2026-09-02
Cato,Research,267,331,yes,2026-09-04
Sam,Checking,313,305,no,2026-07-11
Sam,Reporting,51,257,yes,2026-07-16
Sam,Checking,94,19,no,2026-05-25
Lena,Reporting,231,292,yes,2026-08-17
Sam,Writing,-30,408,yes,2026-07-18
Cato,Checking,292,264,yes,2026-06-12
Sam,Writing,367,274,yes,2026-06-03
Sam,Research,223,208,yes,2026-06-03
Cato,Checking,421,495,yes,2026-09-07
Cato,Writing,205,299,no,2026-08-23
Vera,Writing,83,109,no,2026-06-01
Cato,Reporting,220,482,yes,2026-09-04
Vera,Checking,-29,202,no,2026-07-25
Cato,Writing,220,272,yes,2026-07-17
Sam,Reporting,256,136,yes,2026-09-14
Lena,Research,218,242,no,2026-08-15
Vera,Reporting,359,448,yes,2026-05-29
Sam,Checking,124,137,no,2026-05-26
Sam,Checking,95,-76,yes,2026-09-07
Cato,Reporting,236,261,no,2026-08-08
Vera,Checking,15,423,no,2026-06-18
Cato,Writing,391,352,yes,2026-08-09
Vera,Checking,293,345,no,2026-06-12
Cato,Writing,219,178,no,2026-07-13
Cato,Reporting,309,428,no,2026-08-02
Cato,Checking,130,272,no,2026-06-15
Cato,Checking,152,102,yes,2026-06-24
Sam,Checking,281,444,yes,2026-09-14
Cato,Checking,68,326,no,2026-09-12
Lena,Checking,246,378,no,2026-08-08
Vera,Writing,231,131,yes,2026-05-29
Sam,Checking,146,268,no,2026-09-03
Sam,Checking,377,508,no,2026-06-07
Lena,Checking,162,218,no,2026-07-17
Cato,Reporting,119,124,no,2026-09-13
Cato,Writing,327,390,no,2026-06-11
Cato,Reporting,52,221,no,2026-09-10
Cato,Reporting,278,357,no,2026-05-29
Cato,Writing,216,265,yes,2026-07-04
Sam,Checking,225,138,no,2026-07-25
Lena,Writing,449,362,yes,2026-08-18
Sam,Reporting,45,176,no,2026-06-18
Cato,Checking,48,25,no,2026-09-11
Lena,Checking,380,399,no,2026-06-15
Cato,Checking,-45,394,no,2026-07-06
Cato,Checking,287,392,no,2026-09-16
Lena,Checking,402,135,yes,2026-07-02
Cato,Reporting,240,206,yes,2026-09-04
Cato,Reporting,313,386,yes,2026-08-20
Lena,Checking,69,98,no,2026-08-09
Cato,Checking,136,87,yes,2026-06-23
Cato,Checking,202,411,no,2026-08-29
Cato,Checking,47,396,yes,2026-08-09
Cato,Research,385,295,yes,2026-09-15
Cato,Writing,302,274,no,2026-07-30
Sam,Checking,230,181,no,2026-09-16
Sam,Checking,398,426,yes,2026-06-27
Cato,Checking,123,211,no,2026-07-26
Vera,Checking,155,-14,yes,2026-08-05
Cato,Writing,195,371,no,2026-08-10
Cato,Research,5,223,yes,2026-06-17
Vera,Writing,317,271,no,2026-06-05
Lena,Reporting,218,329,no,2026-06-11
Vera,Checking,160,203,yes,2026-08-02
Cato,Checking,440,304,no,2026-07-26
Sam,Checking,78,296,yes,2026-06-07
Lena,Checking,64,51,yes,2026-06-20
Vera,Writing,196,292,no,2026-05-31
Sam,Checking,-64,261,no,2026-08-06
Sam,Checking,202,354,yes,2026-06-06
Vera,Checking,231,288,yes,2026-05-25
Lena,Checking,212,219,yes,2026-06-04
Cato,Checking,375,345,yes,2026-08-09
Sam,Checking,142,171,no,2026-07-25
Lena,Reporting,4,-7,no,2026-06-12
Vera,Checking,268,343,no,2026-08-08
Sam,Checking,90,349,no,2026-08-01
Sam,Research,284,180,yes,2026-05-24
Cato,Reporting,243,257,no,2026-09-13
Sam,Checking,224,321,no,2026-08-03
Cato,Research,359,357,yes,2026-07-19
Cato,Checking,186,102,no,2026-07-24
Cato,Checking,162,102,yes,2026-06-18
Cato,Checking,342,280,no,2026-08-06
Sam,Writing,96,323,yes,2026-07-10
Cato,Writing,281,248,yes,2026-09-16
Cato,Research,283,273,yes,2026-07-04
Cato,Writing,136,238,no,2026-05-24
Cato,Checking,275,492,no,2026-06-22
Vera,Checking,37,145,yes,2026-08-08
Vera,Checking,102,-16,yes,2026-07-24
Sam,Checking,323,405,yes,2026-06-01
Sam,Checking,15,206,no,2026-09-14
Vera,Writing,227,231,yes,2026-07-02
Cato,Research,410,339,no,2026-08-01
Lena,Checking,289,226,no,2026-08-11
Sam,Checking,417,325,no,2026-06-05
Sam,Writing,230,162,yes,2026-08-27
Cato,Checking,114,102,no,2026-08-25
Lena,Writing,215,467,no,2026-07-20
Lena,Research,82,283,yes,2026-07-31
Lena,Checking,337,369,yes,2026-07-21
Lena,Research,390,273,yes,2026-06-07
Sam,Checking,265,151,no,2026-08-04
Cato,Writing,394,373,no,2026-08-11
Cato,Research,213,186,yes,2026-07-31
Sam,Checking,110,-48,no,2026-06-18
Cato,Checking,240,445,yes,2026-09-09
Cato,Checking,-24,266,no,2026-06-19
Sam,Writing,223,194,no,2026-07-20
Cato,Checking,398,214,yes,2026-06-03
Cato,Writing,176,210,yes,2026-08-10
Cato,Research,473,338,no,2026-06-13
Cato,Writing,165,301,yes,2026-06-16
Sam,Checking,27,89,yes,2026-06-28
Sam,Writing,287,384,no,2026-06-11
Cato,Writing,46,237,no,2026-08-28
Cato,Checking,280,393,no,2026-08-30
Sam,Reporting,381,263,yes,2026-08-21
Cato,Research,199,248,yes,2026-07-22
Vera,Reporting,274,422,no,2026-07-02
Vera,Checking,153,99,no,2026-08-11
Lena,Checking,141,-88,no,2026-06-12
Cato,Writing,349,287,yes,2026-07-11
Cato,Checking,33,413,yes,2026-08-04
Cato,Writing,195,207,yes,2026-07-23
Cato,Checking,262,235,no,2026-08-02
Cato,Research,102,301,no,2026-08-23
Cato,Checking,336,308,yes,2026-09-12
Cato,Writing,237,191,yes,2026-06-28
Sam,Writing,89,-31,no,2026-08-31
Cato,Research,235,264,yes,2026-08-04
Cato,Checking,5,200,no,2026-08-28
Cato,Checking,266,204,no,2026-05-27
Cato,Research,295,276,no,2026-07-23
Cato,Checking,234,201,yes,2026-09-16
Cato,Reporting,290,467,yes,2026-09-19
Sam,Checking,103,208,yes,2026-06-04
Sam,Writing,86,37,no,2026-08-24
Sam,Writing,383,291,no,2026-06-21
Cato,Checking,55,265,yes,2026-07-27
Sam,Checking,198,317,yes,2026-07-01
Cato,Writing,265,261,yes,2026-09-09
Cato,Writing,213,360,yes,2026-06-22
Sam,Research,353,458,no,2026-06-03
Sam,Checking,65,91,yes,2026-06-24
Cato,Writing,-13,111,no,2026-05-29
Vera,Checking,375,338,yes,2026-07-15
Lena,Reporting,-34,231,yes,2026-07-18
Sam,Checking,351,282,no,2026-06-07
Cato,Writing,213,135,yes,2026-08-13
Cato,Checking,136,350,no,2026-08-26
Cato,Reporting,322,427,no,2026-07-22
Lena,Writing,89,215,yes,2026-08-07
Cato,Writing,18,113,no,2026-05-27
Sam,Checking,331,400,no,2026-08-25
Cato,Checking,-12,392,yes,2026-06-10
Sam,Writing,360,396,yes,2026-06-22
Cato,Writing,274,205,no,2026-05-28
Vera,Checking,141,138,yes,2026-06-06
Cato,Checking,451,405,yes,2026-08-08
Cato,Research,106,298,no,2026-07-05
Cato,Checking,110,-43,yes,2026-07-23
Cato,Checking,253,442,no,2026-07-06
Sam,Writing,135,405,no,2026-09-15
Cato,Checking,371,309,yes,2026-06-18
Lena,Writing,362,310,no,2026-07-21
Vera,Checking,250,131,yes,2026-06-08
Cato,Checking,341,299,yes,2026-08-30
Lena,Checking,227,214,yes,2026-06-23
Sam,Checking,-18,-61,yes,2026-08-31
Lena,Writing,228,288,no,2026-07-02
Cato,Research,3,409,no,2026-08-25
Sam,Checking,390,379,yes,2026-07-07
Cato,Writing,289,299,yes,2026-06-23
Cato,Checking,134,257,yes,2026-08-26
Vera,Writing,356,497,no,2026-06-19
Cato,Research,149,216,no,2026-06-10
Cato,Reporting,164,-16,yes,2026-06-16
Cato,Research,356,274,no,2026-09-04
Cato,Checking,80,242,yes,2026-08-16
Sam,Writing,394,279,yes,2026-06-20
Cato,Checking,295,258,no,2026-07-04
Lena,Writing,251,287,no,2026-08-24
Vera,Checking,293,349,no,2026-07-21
Sam,Checking,56,273,yes,2026-06-27
Cato,Checking,99,1,no,2026-05-26
Lena,Reporting,257,387,no,2026-06-29
Cato,Writing,-6,202,yes,2026-05-26
Cato,Research,270,224,yes,2026-05-29
Cato,Checking,382,142,yes,2026-07-20
Cato,Research,212,287,yes,2026-06-24
